[metadata]
software = "LabVIEW"
date = "! Date: 2024-03-18 17:46:33"
config info = "! Start: 2GHz Stop: 3.2GHz Points: 65535"
signal name = "! S-Parameter data: F S11"
info = "# Hz S RI R 50"
signals = "Frequency           S11_Real           S11_Imag"
sdsad = "Frequency           S11_Real           S11_Imag"
Hz	S11_Real	S11_imag
0	0.714753	0.658197
1	0.938822	0.035890
2	0.224263	0.038161
3	0.729288	0.316088
4	0.730911	0.299749
5	0.568219	0.545708
6	0.093061	0.200339
7	0.503649	0.743703
8	0.602386	0.541919
9	0.864563	0.244524
10	0.796739	0.892072
11	0.306671	0.699559
12	0.639724	0.110126
13	0.053678	0.299908
14	0.083322	0.981871
15	0.735458	0.984458
16	0.959460	0.786678
17	0.084801	0.451676
18	0.360010	0.164523
19	0.163789	0.356813
20	0.558078	0.438256
21	0.949364	0.148118
22	0.291693	0.010750
23	0.970991	0.007868
24	0.771870	0.730433
25	0.298516	0.008317
26	0.491329	0.618617
27	0.998290	0.944022
28	0.806349	0.759095
29	0.536901	0.718221
30	0.745883	0.390001
31	0.927421	0.794237
32	0.016065	0.455349
33	0.353519	0.120992
34	0.397792	0.736443
35	0.456843	0.687355
36	0.550342	0.106656
37	0.033445	0.172166
38	0.433990	0.223757
39	0.689258	0.696186
40	0.709874	0.685755
41	0.337414	0.976059
42	0.111689	0.346052
43	0.683267	0.529309
44	0.218530	0.501056
45	0.145638	0.750978
46	0.591411	0.519373
47	0.973382	0.843824
48	0.873774	0.041488
49	0.831267	0.596645
50	0.272710	0.213176
51	0.837418	0.775110
52	0.131670	0.693220
53	0.636244	0.085000
54	0.697414	0.164935
55	0.461592	0.406920
56	0.828637	0.386731
57	0.831322	0.702292
58	0.893601	0.695801
59	0.361967	0.166045
60	0.347541	0.193350
61	0.100412	0.735838
62	0.395912	0.283192
63	0.169046	0.270203
64	0.265214	0.576127
65	0.752427	0.520337
66	0.898104	0.354900
67	0.743652	0.233965
68	0.526722	0.917005
69	0.005876	0.321929
70	0.558992	0.467904
71	0.490471	0.613737
72	0.215191	0.502816
73	0.549294	0.024759
74	0.889109	0.454961
75	0.703723	0.161710
76	0.811924	0.551402
77	0.697851	0.361682
78	0.343209	0.927070
79	0.455870	0.665895
80	0.409296	0.535570
81	0.307426	0.026919
82	0.732668	0.615873
83	0.073793	0.373036
84	0.347305	0.275224
85	0.878526	0.821257
86	0.700660	0.049905
87	0.217117	0.593478
