! NanoVNA-App
! Date: 2024-06-24 16:41:53
! Start: 1.00MHz  Stop: 2.00GHz  Points: 301
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S11_Real           S11_Imag           S21_Real           S21_Imag           S12_Real           S12_Imag           S22_Real           S22_Imag
0.00000000E+0      2.84331117E-2      1.91052668E-1      4.72098192E-1      2.29423962E-1      7.36656292E-1      5.38335113E-1      8.00682161E-1      3.16663468E-1
1.00000000E+0      4.55858307E-1      8.79718562E-1      6.29014449E-2      9.43188672E-2      8.87697659E-1      3.87750075E-1      2.08948377E-1      9.27603554E-1
2.00000000E+0      7.32410627E-1      7.21027053E-1      7.09332330E-1      7.24644340E-1      6.23922173E-1      5.40322732E-1      9.35067246E-2      5.13047393E-1
3.00000000E+0      6.20171533E-1      1.99738427E-1      8.91845549E-1      8.90175087E-1      3.85877906E-1      7.02762291E-2      4.29552168E-1      9.61280968E-1
4.00000000E+0      3.90090456E-1      5.29473046E-1      2.06859453E-1      5.17958054E-1      5.89809930E-2      7.48162792E-1      6.36446211E-3      4.65584215E-1
5.00000000E+0      8.61091004E-1      2.69972610E-1      6.67117982E-1      4.59644137E-1      9.50393922E-2      3.08290937E-1      4.52761745E-1      8.40825876E-1
6.00000000E+0      6.97166575E-1      1.88022136E-1      5.27621304E-1      5.22453673E-1      7.91964104E-1      7.73392339E-1      9.86271699E-1      6.54392971E-1
7.00000000E+0      9.04589140E-1      3.25366355E-1      2.84548158E-1      1.03601942E-1      5.56474971E-1      7.38507047E-1      3.56713311E-1      4.74401150E-1
8.00000000E+0      6.73363354E-1      8.40797245E-2      5.73978784E-1      5.37106310E-1      5.59091786E-1      3.49563933E-1      1.02933535E-1      7.22185918E-1
9.00000000E+0      8.27481464E-1      5.45020704E-1      9.44176823E-1      6.27745140E-1      9.17686468E-1      6.41297307E-1      1.46816811E-1      9.19917581E-2
1.00000000E+1      6.03077499E-1      7.42073073E-1      9.68459501E-1      8.49967607E-1      2.36167688E-1      3.11160852E-1      6.07210063E-1      3.25786078E-1
1.10000000E+1      7.53829317E-1      3.62862690E-1      6.21843683E-1      6.91442847E-3      1.56777014E-1      3.89551996E-1      2.26220196E-1      9.06603103E-1
1.20000000E+1      9.69766605E-1      3.34610792E-1      6.81532238E-1      4.97385532E-1      3.73516153E-1      3.74942841E-1      2.96650129E-1      9.51014029E-1
1.30000000E+1      6.94949307E-1      6.60064629E-1      4.96007857E-1      6.43381863E-1      7.09201457E-1      7.69727934E-1      2.98383117E-1      2.52549634E-1
1.40000000E+1      3.80705135E-1      8.48784349E-1      3.70784624E-1      8.20196910E-1      5.77219551E-1      6.97503444E-1      3.58584190E-1      4.83568325E-1
1.50000000E+1      7.73985906E-1      5.80640453E-1      8.63598220E-1      5.71526906E-1      2.49539576E-1      9.46825717E-1      7.00324933E-1      9.73023017E-2
1.60000000E+1      1.74418733E-1      3.55332960E-1      1.80795341E-1      9.32237254E-1      8.11332003E-1      7.82676264E-1      6.54866978E-2      6.06592966E-1
1.70000000E+1      7.85906859E-1      4.07371270E-2      1.34488900E-1      1.12546579E-1      9.45466810E-1      1.86589986E-1      9.85172969E-1      5.96881990E-1
1.80000000E+1      3.02008756E-1      8.72700937E-1      9.07638862E-1      4.13343924E-1      2.22140260E-1      2.50269657E-1      4.47380872E-1      5.29362666E-2
1.90000000E+1      2.51503792E-1      1.64630980E-1      9.19001326E-1      7.94975850E-1      1.86623449E-1      9.67806894E-1      2.71523696E-1      5.66377267E-1
2.00000000E+1      9.40617735E-1      6.48677170E-1      4.30089298E-1      8.65922690E-1      1.84416724E-2      7.23637502E-1      3.96670022E-1      7.00052584E-1
2.10000000E+1      9.84087840E-1      6.06987317E-1      6.16145801E-1      5.01866216E-1      6.62552850E-1      5.66179801E-1      1.44965192E-1      8.30821741E-1
2.20000000E+1      9.88543480E-1      6.13047966E-1      1.80558844E-1      3.67666272E-2      8.58855862E-1      7.01669491E-1      2.19410671E-2      1.87854012E-1
2.30000000E+1      2.67639248E-1      1.51640343E-1      7.80453151E-1      2.37926706E-1      2.31383909E-1      9.89651971E-1      5.96487131E-1      9.43973642E-1
2.40000000E+1      8.49924734E-1      8.60512866E-1      3.95502523E-2      9.67500765E-1      8.99221001E-1      4.91197759E-1      4.20822320E-2      2.65358395E-1
2.50000000E+1      1.02326778E-1      6.02706800E-1      8.19961585E-1      5.28118116E-1      5.04125193E-1      2.57004552E-1      7.56991913E-1      4.46003732E-1
2.60000000E+1      3.41180435E-1      5.97828707E-2      1.83767700E-1      8.70080034E-1      9.49934562E-1      4.34772897E-1      3.14695121E-1      2.03422929E-3
2.70000000E+1      3.81545547E-1      7.75413271E-1      4.46311810E-1      2.97884811E-1      4.17853461E-1      5.27125025E-1      4.37465297E-1      2.91791006E-1
2.80000000E+1      6.86421682E-1      6.20690454E-1      2.11486369E-1      3.58953689E-1      3.31588585E-1      3.06545682E-1      5.80278364E-1      7.43916995E-1
2.90000000E+1      1.62466294E-2      3.56157852E-1      9.79601509E-1      6.65174733E-2      9.72485799E-1      6.71376095E-1      5.44460676E-1      3.66628343E-1
3.00000000E+1      4.79260952E-2      8.71740865E-1      4.29986110E-1      9.60547480E-1      2.89013697E-1      8.25420193E-1      1.13934088E-1      8.93334000E-1
3.10000000E+1      2.66267879E-1      4.23801660E-1      2.83748167E-1      5.19171770E-1      5.45366851E-2      6.56555830E-1      2.99732406E-1      6.39249505E-1
3.20000000E+1      2.19538823E-1      6.38892251E-2      5.27926172E-2      2.16412004E-1      1.31038821E-2      6.35309779E-1      3.93654520E-1      2.67882852E-1
3.30000000E+1      4.65823272E-1      2.41810832E-1      8.76684196E-1      5.67108435E-2      7.03181263E-1      5.05751862E-1      8.17928340E-1      9.12594000E-1
3.40000000E+1      6.28515190E-1      8.11671136E-1      8.52148952E-1      6.14042711E-1      8.40372788E-1      2.16286478E-1      4.55651250E-1      3.79528646E-2
3.50000000E+1      3.74279120E-1      9.38458243E-1      8.59305868E-1      8.89340885E-1      5.79331460E-1      6.98449599E-1      7.86795908E-1      8.74542281E-1
3.60000000E+1      3.87723232E-1      8.48074131E-1      6.61134698E-1      6.63096740E-1      4.59372587E-1      7.61478177E-1      4.04591258E-1      8.41606822E-1
3.70000000E+1      4.80220472E-1      7.74762459E-1      9.80591526E-1      5.23732368E-1      9.95510314E-2      2.83465794E-1      7.22677911E-1      9.87362241E-1
3.80000000E+1      6.91011783E-2      4.47803206E-1      6.99270129E-1      5.00312315E-1      4.59282149E-1      9.61558946E-1      1.92597211E-1      4.69835297E-1
3.90000000E+1      2.19223557E-1      5.89691916E-1      2.08783475E-1      3.30157094E-2      1.06661667E-1      4.36066597E-1      5.25629647E-1      4.10883858E-1
4.00000000E+1      3.34724323E-1      6.03850205E-1      5.86566561E-1      3.30340200E-1      7.07747738E-1      1.38495861E-1      9.56717735E-2      5.92444327E-1
4.10000000E+1      6.40170866E-1      7.64748506E-1      6.20570929E-1      8.49308748E-1      6.16927207E-1      6.08948882E-1      5.53245235E-1      6.48161777E-1
4.20000000E+1      2.74249979E-1      5.36441445E-1      2.85010637E-1      4.60192541E-1      4.01143334E-2      6.83007956E-1      5.55411346E-1      8.33372200E-1
4.30000000E+1      6.24764798E-1      1.02841088E-1      7.56442835E-1      2.29196333E-1      4.89672818E-1      1.33439219E-2      8.42049583E-1      8.05471191E-1
4.40000000E+1      6.85747126E-1      1.61805627E-1      8.19806863E-1      2.80329223E-1      2.71210137E-3      7.88508556E-1      4.84462553E-1      9.44364690E-1
4.50000000E+1      3.46138319E-2      2.63672601E-1      4.67632489E-1      3.59105962E-1      5.83851189E-1      4.87062337E-2      2.04629190E-1      2.51851240E-1
4.60000000E+1      6.30010657E-1      9.06046803E-1      2.29820697E-1      1.39022674E-2      2.82725451E-1      5.81993948E-1      5.46167074E-1      8.16302561E-1
4.70000000E+1      8.63243927E-1      5.22663353E-1      3.47273134E-1      9.64891175E-1      5.95367469E-2      2.73751620E-1      8.46902421E-1      9.14754344E-2
4.80000000E+1      5.93426587E-1      4.40194154E-1      9.70442837E-1      6.26431969E-1      5.97327194E-1      8.78172658E-1      7.27638472E-1      5.06800541E-1
4.90000000E+1      4.29688399E-1      9.99913782E-1      1.86694118E-2      6.88350673E-2      3.11332103E-1      4.84491312E-1      5.21478745E-1      3.70889985E-2
5.00000000E+1      2.74704685E-2      9.17968006E-1      9.53960636E-1      9.16625302E-1      9.30464566E-2      5.30369221E-1      5.96861245E-1      3.00417194E-1
5.10000000E+1      6.40952288E-1      8.59017240E-1      6.68083746E-1      7.79605145E-1      9.23564761E-1      9.49554804E-1      4.95956126E-1      5.71506682E-1
5.20000000E+1      2.25288205E-1      5.92700307E-1      1.97602613E-1      8.22798078E-1      5.37228412E-1      1.06105366E-2      1.46657564E-1      4.62055588E-1
5.30000000E+1      3.97369175E-1      9.37298221E-2      6.53572676E-2      7.50164186E-1      6.54931400E-1      9.14585380E-1      6.92401148E-2      3.12197188E-1
5.40000000E+1      1.98641453E-1      7.86139667E-1      8.83950768E-1      2.50992361E-1      9.76301233E-1      4.08783752E-1      8.91251575E-1      9.87584586E-1
5.50000000E+1      9.20290080E-1      3.66010756E-1      1.63729125E-1      1.59384936E-1      4.96936025E-1      5.54945668E-1      1.82860964E-2      4.89830380E-1
5.60000000E+1      6.54552395E-1      8.79303831E-1      1.61643678E-2      1.47021061E-1      3.06589858E-2      8.44581915E-1      3.53947786E-1      8.15555472E-1
5.70000000E+1      3.07282647E-1      6.69920031E-1      8.42947777E-1      7.00082157E-1      7.24299706E-1      4.40320702E-1      5.40576867E-3      9.15065839E-1
5.80000000E+1      2.02004843E-1      7.98557892E-1      6.33500296E-1      2.17771361E-1      9.88347809E-2      6.52175202E-3      9.78905638E-1      7.64359157E-1
5.90000000E+1      3.36285899E-1      2.60586261E-1      4.06570343E-1      2.93769953E-1      8.39033939E-1      8.91618447E-1      5.93189694E-2      6.91856782E-1
6.00000000E+1      7.70144611E-1      5.35027766E-1      2.60621997E-1      1.54289810E-1      9.40829158E-1      4.22355368E-1      9.29872900E-1      6.08567960E-1
6.10000000E+1      7.07487813E-1      7.22557710E-1      3.57570148E-1      5.79800642E-1      7.68036240E-1      1.35879014E-1      7.91521069E-1      4.93816549E-1
6.20000000E+1      2.62149474E-1      6.96247914E-1      1.27308107E-1      3.41986215E-1      8.42379226E-1      7.47525475E-1      9.59421309E-1      1.12287068E-1
6.30000000E+1      9.75679744E-2      1.98349212E-1      9.51792771E-1      3.90956388E-1      8.88973503E-1      6.36677111E-1      6.58875453E-2      1.69506811E-1
6.40000000E+1      1.41503025E-1      9.45646055E-1      5.91733004E-1      2.47072896E-1      7.73646791E-1      6.90928356E-1      4.49723810E-1      4.09737010E-1
6.50000000E+1      5.90937582E-1      9.46655505E-1      1.90810192E-2      2.77273253E-2      1.72453138E-1      1.34558265E-1      8.42471737E-1      5.50777884E-1
6.60000000E+1      9.97580301E-1      6.67055102E-1      7.15200621E-1      7.58441312E-2      6.97417383E-1      4.34531741E-1      8.78099088E-1      4.32147185E-1
6.70000000E+1      3.16372794E-1      7.83478332E-1      7.60429736E-1      9.76961178E-1      7.42354475E-1      6.10244205E-1      1.97024839E-1      7.91656142E-1
6.80000000E+1      1.07878513E-1      9.09720794E-1      1.30868648E-1      7.17588796E-1      5.67548542E-1      7.69604213E-1      8.46961814E-1      7.54326946E-1
6.90000000E+1      8.97948099E-1      5.94905265E-1      4.29666510E-1      8.24427756E-1      1.46409245E-1      5.08180255E-2      6.42413199E-1      5.19284201E-1
7.00000000E+1      9.53761761E-1      6.58003134E-1      4.58125174E-1      5.75941136E-1      6.81514361E-1      2.83810118E-1      4.51623398E-1      7.01673811E-1
7.10000000E+1      3.56720614E-1      6.34951703E-1      2.85280721E-1      6.88265962E-1      7.18725718E-1      5.83190650E-1      8.59264946E-1      2.13971450E-1
7.20000000E+1      5.22373130E-1      5.01984474E-1      4.31626230E-1      1.28223914E-1      9.83633206E-1      9.45747074E-1      1.85011978E-1      3.13848000E-1
7.30000000E+1      6.88681589E-1      2.74385250E-1      2.23192892E-1      4.27500727E-1      6.12175107E-1      4.58213127E-1      5.27703577E-1      1.20668090E-1
7.40000000E+1      1.62168753E-2      5.92464886E-1      3.97788488E-1      5.88049829E-1      1.12558247E-1      8.15783511E-1      1.91500318E-1      3.38176024E-1
7.50000000E+1      3.36304560E-1      7.58982487E-1      5.52229385E-1      1.48267166E-1      8.93833615E-1      3.23509153E-1      3.16602371E-1      7.90344143E-1
7.60000000E+1      4.41055215E-1      3.77149481E-1      8.81092013E-1      8.91312172E-1      7.26376837E-1      7.63296686E-1      6.18031354E-1      2.45780587E-1
7.70000000E+1      9.77956847E-1      1.45359205E-1      6.84630990E-1      6.18179166E-1      4.97292963E-1      8.86923739E-1      3.05369731E-1      1.65788298E-1
7.80000000E+1      6.99617998E-1      5.62890601E-2      7.50627481E-2      1.99417518E-1      7.10712548E-1      7.84265212E-1      2.29134652E-1      1.56687448E-2
7.90000000E+1      2.89190772E-1      1.65850566E-1      6.14290708E-1      8.99051619E-1      3.03385724E-1      5.65738785E-1      3.92333201E-1      5.23095935E-1
8.00000000E+1      8.18993148E-1      1.31395537E-1      8.11392046E-1      4.64962449E-1      2.16967746E-1      8.20180719E-2      9.86507746E-1      9.78447855E-1
8.10000000E+1      7.25326559E-1      2.14713207E-1      1.77482372E-1      4.88418887E-1      8.68884871E-1      7.68855234E-1      2.49797277E-1      2.73137424E-1
8.20000000E+1      8.02963374E-1      3.33217990E-1      2.27842946E-1      1.78586460E-1      6.46979298E-1      1.87289779E-1      4.10983326E-1      3.15578253E-1
8.30000000E+1      3.23639093E-1      8.09572860E-1      4.60527226E-1      3.79022680E-1      9.92788175E-1      2.01235840E-1      3.09163403E-1      1.44083080E-1
8.40000000E+1      2.81181651E-1      3.87073609E-1      3.71194195E-1      4.50649547E-1      9.14379040E-2      7.24038126E-1      6.96391119E-1      8.04966284E-1
8.50000000E+1      9.65582311E-1      4.99160730E-1      8.95067716E-1      9.99633925E-1      9.11265245E-1      7.63769646E-3      8.87567684E-1      5.79990090E-1
8.60000000E+1      9.35212791E-1      8.83674622E-1      8.21299544E-1      4.92199018E-1      9.48900080E-1      9.29709770E-2      8.83576855E-1      4.44503925E-1
8.70000000E+1      4.53755638E-1      4.77854717E-1      2.05091935E-2      3.73848742E-1      9.53581822E-1      2.90669517E-1      5.14244872E-1      7.56425478E-1
8.80000000E+1      2.20755194E-1      4.90427796E-2      8.66144320E-1      7.10237144E-1      4.52445767E-1      3.01213118E-1      6.00770729E-1      9.20877475E-1
8.90000000E+1      2.57917859E-1      2.46835834E-1      7.96374119E-1      3.68941383E-1      3.58032325E-1      1.48853779E-2      2.25840278E-1      6.57788368E-1
9.00000000E+1      5.62489958E-1      1.92899618E-1      4.15685899E-1      5.07094140E-1      4.76837321E-1      8.31927174E-1      9.74918881E-1      8.78012075E-1
9.10000000E+1      2.85732153E-1      8.84140426E-1      9.63704394E-1      9.90740554E-1      2.40939456E-1      6.41122577E-1      6.46056345E-1      1.20325925E-1
9.20000000E+1      4.46989748E-1      6.58691963E-2      2.97544104E-2      6.10673189E-1      4.23464117E-1      6.50900178E-2      1.47830363E-2      9.02444605E-1
9.30000000E+1      5.99813928E-1      2.87155717E-2      3.11516154E-1      5.14953128E-1      2.26839137E-1      9.85209519E-1      6.31656780E-1      2.17591233E-1
9.40000000E+1      6.53137521E-2      5.09915668E-2      2.10502532E-1      9.86515654E-2      1.66490834E-1      1.14636408E-1      8.07209611E-1      8.18320309E-1
9.50000000E+1      2.47999049E-1      7.87375277E-1      4.09899975E-1      2.60005157E-1      1.50193819E-1      9.51576089E-1      6.75254449E-1      3.80573013E-1
9.60000000E+1      4.03486096E-1      8.48349733E-1      8.07575418E-1      7.08741063E-1      8.97614313E-1      2.67043277E-2      5.31910107E-1      4.09301119E-1
9.70000000E+1      3.88627249E-1      9.42854333E-1      1.19859656E-1      1.84868892E-1      3.56475350E-3      1.66032625E-1      5.42064038E-1      6.25637970E-1
9.80000000E+1      9.21845174E-1      6.29075953E-1      6.29092390E-1      8.41612104E-1      4.09548457E-1      1.28073170E-1      1.13265489E-1      5.27759277E-1
9.90000000E+1      3.64591360E-1      2.48036823E-1      7.90618020E-1      3.41721694E-1      8.61186607E-1      6.94315988E-1      9.73260144E-1      4.94515449E-1
1.00000000E+2      7.22044313E-1      8.20994167E-1      4.20974385E-1      2.59984828E-1      2.89046636E-1      1.14235938E-1      2.80658001E-1      4.63856324E-1
1.01000000E+2      4.71010104E-1      8.14100089E-1      4.80953852E-1      4.44602007E-2      9.38808824E-1      7.88763786E-1      6.28946376E-1      5.71856606E-1
1.02000000E+2      8.40993864E-1      4.21365201E-1      7.41204735E-1      5.58931427E-1      3.41289363E-1      3.45614804E-1      4.19374783E-1      9.85935326E-1
1.03000000E+2      9.30433105E-1      3.47204299E-1      7.68097507E-1      1.34776332E-1      6.34636943E-1      6.24594388E-1      9.35154627E-1      5.53908742E-1
1.04000000E+2      9.15574253E-3      1.26791864E-1      5.70611565E-1      3.39738982E-1      6.58041918E-1      8.75341663E-1      3.78783688E-1      8.40937056E-1
1.05000000E+2      2.05567630E-1      4.46943148E-1      9.98304191E-1      9.30777433E-1      4.19652100E-1      2.26468157E-1      3.73290786E-1      4.87905484E-1
1.06000000E+2      3.72428518E-2      2.30649620E-1      2.00910188E-1      9.55787928E-1      6.27828284E-1      3.82779763E-1      3.77876959E-1      4.83604384E-1
1.07000000E+2      3.80830625E-1      9.67681424E-1      4.77941390E-1      1.60924195E-1      2.67804976E-1      4.57236459E-1      6.25489853E-1      9.61550022E-1
1.08000000E+2      7.21376677E-1      9.92802371E-1      8.28705530E-1      3.20074741E-1      3.17652064E-1      1.99949467E-1      6.15436697E-1      4.67798699E-1
1.09000000E+2      5.91063719E-1      6.83403097E-1      1.28714808E-1      4.76878445E-1      9.94320145E-2      5.55327698E-3      4.06680743E-1      1.54806247E-1
1.10000000E+2      9.66955862E-1      8.02299688E-1      3.91461050E-1      4.52375365E-1      5.25175647E-1      4.64746529E-1      5.71704747E-1      7.48317079E-1
1.11000000E+2      9.97139522E-1      6.61641203E-1      4.99135505E-1      8.44899114E-1      6.35532697E-2      6.04048423E-1      5.41305344E-1      1.78032316E-1
1.12000000E+2      4.69577217E-1      9.08675205E-1      4.99180430E-1      4.59630660E-1      1.94259968E-1      9.88825274E-1      5.88524528E-1      8.89006153E-1
1.13000000E+2      8.09379184E-1      1.93165638E-1      8.21097400E-1      4.68336587E-1      8.78344410E-1      1.68549516E-1      1.27359252E-1      3.85439870E-2
1.14000000E+2      4.53758673E-1      7.68971328E-1      6.06392166E-1      9.02538693E-1      6.08148091E-1      1.02520900E-2      1.60460067E-1      7.53002563E-2
1.15000000E+2      2.87455734E-1      9.78967551E-1      8.89920600E-1      2.65387454E-1      4.63026230E-1      6.82025413E-1      2.87603083E-1      8.00708325E-1
1.16000000E+2      1.42440795E-1      4.22523660E-1      4.41474924E-1      3.13513412E-1      7.51504478E-1      8.65040395E-1      1.75516226E-2      7.51180360E-1
1.17000000E+2      3.93427839E-1      1.60399366E-1      9.49079487E-1      8.02039388E-2      7.13485144E-1      9.92675581E-1      6.40933892E-1      9.13308999E-1
1.18000000E+2      8.05118428E-1      5.79256127E-1      4.09341744E-1      6.18225316E-3      2.12100450E-1      5.15339574E-1      5.60213598E-2      1.34886102E-1
1.19000000E+2      4.21931958E-1      8.04252480E-1      1.19142179E-1      1.23944707E-1      9.14201793E-1      4.59600980E-1      5.50988622E-1      7.52215346E-1
1.20000000E+2      7.85886844E-1      3.19578095E-1      2.41382743E-1      1.66077579E-1      3.68883274E-1      7.66846626E-1      4.49270193E-1      9.36318118E-1
1.21000000E+2      7.91898082E-1      1.14599378E-1      5.34474055E-1      3.33233770E-2      3.60592321E-1      7.59249947E-1      6.91403334E-1      4.01724219E-1
1.22000000E+2      3.47430610E-1      3.32182325E-1      2.70587915E-1      9.27969521E-1      3.39914377E-1      4.61017910E-1      9.58280723E-1      2.05464191E-1
1.23000000E+2      5.53922600E-3      7.81541058E-1      5.06254488E-2      3.95232069E-1      6.19794916E-1      3.81668224E-1      2.49275643E-1      3.92058567E-1
1.24000000E+2      6.19050157E-1      7.04536847E-1      1.13885958E-1      6.29770253E-1      1.37220401E-2      4.89091985E-1      9.01880983E-1      5.59237254E-1
1.25000000E+2      6.05861710E-1      9.96965130E-1      8.55330987E-1      2.50093132E-1      8.71052584E-1      1.93153812E-1      6.54248780E-1      8.98867981E-1
1.26000000E+2      8.40726743E-1      6.11940403E-1      7.49826781E-1      7.45089429E-1      4.98248162E-1      3.49037317E-1      1.26879311E-2      2.25922598E-1
1.27000000E+2      4.41043541E-1      5.67780828E-1      6.61554542E-1      1.60893543E-2      8.76080169E-1      7.07645425E-1      4.86200599E-1      3.90952046E-2
1.28000000E+2      8.08290860E-1      1.61811631E-1      2.19423141E-1      1.84622009E-1      8.65163597E-1      5.57336131E-1      4.78930262E-1      5.33073282E-1
1.29000000E+2      7.76323053E-1      6.30227891E-1      5.73173650E-1      2.68831102E-1      6.42672161E-2      3.85605709E-1      3.65557196E-1      9.84915752E-1
1.30000000E+2      7.11016039E-1      7.17224071E-1      9.75387645E-1      9.13824348E-1      9.77027496E-1      6.07893079E-1      2.51379359E-1      5.94027402E-1
1.31000000E+2      7.73699046E-1      7.14658436E-1      9.18579694E-1      8.18125241E-1      1.57788090E-1      6.95403598E-1      1.54811661E-2      6.91801219E-1
1.32000000E+2      4.75833432E-1      9.53248261E-1      4.53047292E-1      4.62910743E-1      7.90403936E-1      1.14549758E-1      4.19128922E-2      7.77472349E-1
1.33000000E+2      3.11879640E-1      7.91762499E-1      3.74605508E-3      1.82139456E-1      5.53580914E-1      2.80133979E-1      3.13728851E-1      4.29680071E-1
1.34000000E+2      1.12074963E-1      9.86238874E-2      9.20341348E-1      9.13208256E-1      9.36655091E-1      9.78740131E-1      7.09769461E-1      7.63025024E-1
1.35000000E+2      9.82306830E-1      3.69032996E-2      1.06361402E-1      7.21724408E-2      5.73359469E-1      5.53870450E-1      3.27090381E-1      8.82106554E-1
1.36000000E+2      1.59363010E-1      6.10517294E-1      8.04939899E-1      1.34449714E-1      5.88502285E-1      1.92865812E-1      2.05664608E-1      9.83854196E-1
1.37000000E+2      1.29727220E-1      3.46106044E-1      2.51437097E-1      6.69114660E-1      5.83860805E-1      1.20001943E-1      1.80664250E-1      2.06154924E-1
1.38000000E+2      3.51855620E-1      7.28438993E-1      3.11886557E-1      1.48950771E-1      2.02998450E-1      3.91972160E-1      3.57819114E-1      1.56037370E-1
1.39000000E+2      9.94796701E-1      4.66928553E-1      1.27392808E-1      2.81372241E-1      6.65152275E-1      4.79670418E-2      5.96635913E-1      6.09326222E-2
1.40000000E+2      1.38583033E-1      4.72615284E-1      5.81881536E-1      1.48850227E-1      1.70911914E-1      5.41583794E-1      9.40103740E-1      2.13978108E-1
1.41000000E+2      7.13003731E-1      6.45360234E-1      6.13199399E-1      6.36227890E-1      5.59101847E-1      5.47808084E-1      6.19292062E-2      7.32020058E-1
1.42000000E+2      2.87607697E-1      7.53011747E-1      8.92715125E-1      4.06440913E-1      6.30485006E-2      3.39872532E-1      4.20099463E-1      4.87229743E-1
1.43000000E+2      1.37154322E-1      3.28845476E-1      8.39564915E-1      4.08934802E-1      2.17625595E-1      1.65312828E-1      2.60934672E-1      7.85791394E-1
1.44000000E+2      1.47180371E-2      9.87759886E-1      4.63193885E-1      8.71318633E-1      5.02304303E-1      8.41128611E-1      4.02573985E-1      9.12226628E-1
1.45000000E+2      9.02776693E-2      5.91518866E-1      6.37906589E-1      2.30608395E-1      1.54525859E-1      1.82431658E-1      9.29357912E-1      9.86129638E-1
1.46000000E+2      3.11093311E-1      7.12043876E-1      1.08160476E-1      8.55952281E-1      8.11947742E-1      8.55854137E-1      9.61513192E-1      9.41312603E-1
