! NanoVNA-App
! Date: 2024-06-25 16:23:23
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29313413E-1      1.20800439E-1      -1.60783529E-5      -2.33789906E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30418961E-1      2.33668213E-2      -1.69146806E-5      -2.61142850E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29589372E-1      -7.33735057E-2      1.97477639E-5      7.62753189E-7
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.27346421E-1      -1.78273437E-1      -1.42622739E-5      -5.03305346E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22987140E-1      -3.03031609E-1      1.87009573E-6      2.67485157E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.14107102E-1      -4.72752615E-1      1.16806477E-5      -5.24157658E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.92681370E-1      -7.41249984E-1      -3.34559008E-5      1.67749822E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.11901576E-1      -1.31534609E+0      -3.67779285E-5      8.07922333E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -5.14137402E-1      -3.79966333E+0      4.53274697E-6      -6.00581989E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.57990136E-1      3.80296487E+0      -4.43365425E-5      1.50781125E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05422578E-1      1.29902828E+0      -5.00492752E-6      1.07493252E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.88471249E-1      7.21687897E-1      1.40601769E-5      -2.50404701E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09801176E-1      4.45569713E-1      -1.20680779E-5      3.39932740E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.19073812E-1      2.72072494E-1      -1.08256936E-5      -3.82754952E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.23583540E-1      1.39528816E-1      2.87909061E-5      3.16454098E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25815377E-1      2.36574801E-2      -2.56225467E-5      -6.05359674E-7
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26519783E-1      -8.96333819E-2      2.99429521E-5      -2.21524388E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.26084721E-1      -2.14851589E-1      -1.98576599E-5      2.37524509E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.22483159E-1      -3.72534072E-1      2.19633803E-5      3.91900539E-6
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.08472663E-1      -6.07211751E-1      -2.00513750E-6      2.17780471E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.50720900E-1      -1.06395561E+0      -6.79492950E-6      2.45468691E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -1.39947283E-1      -2.58038399E+0      -2.03093514E-5      -1.37612224E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.43025842E+0      3.60890796E+0      3.72054055E-5      3.37231904E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.59668978E-1      1.28664145E+0      -3.04169953E-6      1.23269856E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.57578649E-1      6.87013954E-1      5.79934567E-6      3.36579978E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.13311897E-1      4.07764157E-1      -3.63457948E-5      -2.04136595E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.33547143E-1      2.33330330E-1      -1.71046704E-5      -2.57417560E-6
