! NanoVNA-App
! Date: 2024-06-25 16:23:12
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29137633E-1      1.20884364E-1      -1.61286443E-5      -2.81045213E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30344950E-1      2.32407926E-2      1.79149210E-5      -4.55416739E-7
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29984316E-1      -7.33495519E-2      6.03497028E-7      -2.34600157E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.27432670E-1      -1.78266228E-1      -7.99167901E-6      3.01348045E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.23531310E-1      -3.03303913E-1      1.29016116E-5      3.86061147E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.14023080E-1      -4.73200437E-1      1.15018338E-5      1.09607354E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.92478054E-1      -7.41624970E-1      -4.58303839E-6      -4.41633165E-6
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.12053922E-1      -1.31690559E+0      3.56696546E-5      2.32541934E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -5.07385305E-1      -3.80675230E+0      -8.86432827E-6      -4.39397991E-6
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.51645106E-1      3.82593800E+0      2.09044665E-5      2.75876373E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05283489E-1      1.29661125E+0      -1.15483999E-6      2.22418457E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87667114E-1      7.21150897E-1      1.41002238E-6      -3.05529684E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.10179971E-1      4.45750364E-1      -3.07206064E-5      -1.80518255E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.19049510E-1      2.72113909E-1      -7.27549195E-6      -1.77137554E-6
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.23299586E-1      1.39724618E-1      1.32909045E-5      1.94078311E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25649608E-1      2.35705868E-2      -8.75815749E-6      -3.93670052E-6
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26635409E-1      -8.95730134E-2      3.15951183E-5      8.79727304E-6
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.26100216E-1      -2.14653327E-1      -6.95325434E-6      -1.57430768E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.22373546E-1      -3.72727966E-1      4.14345413E-6      3.13548371E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.08374796E-1      -6.07385294E-1      1.60122290E-5      9.32626426E-6
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.48494028E-1      -1.06425227E+0      4.43011522E-5      -1.31437555E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -1.46289985E-1      -2.58485345E+0      2.88896263E-6      7.71693885E-6
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.42604748E+0      3.59724482E+0      1.21323392E-5      5.20236790E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.56857813E-1      1.28944077E+0      -2.84826383E-5      -2.59960070E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.58003050E-1      6.86680330E-1      8.95839185E-6      4.34927642E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12615514E-1      4.07605046E-1      1.28820539E-5      -1.22329220E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.33498564E-1      2.33264836E-1      -9.20984894E-6      -1.15558505E-5
