! NanoVNA-App
! Date: 2024-06-25 16:25:15
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29089094E-1      1.19048624E-1      -1.64248049E-5      -1.73933804E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30185278E-1      2.15833302E-2      4.42843884E-6      1.40676275E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29261226E-1      -7.50360322E-2      -1.88956037E-5      1.95456669E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26870992E-1      -1.80300633E-1      1.76997855E-5      2.30195001E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22762568E-1      -3.05872726E-1      1.07800588E-5      -1.35879964E-6
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13701480E-1      -4.76920126E-1      3.33357602E-5      -1.25449151E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.90362564E-1      -7.48434979E-1      1.12997368E-5      -1.29966065E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.05552421E-1      -1.33153149E+0      2.56374478E-5      -2.86558643E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -6.10871435E-1      -3.93272605E+0      5.71459532E-6      1.25514343E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.07842763E-1      3.65402624E+0      -3.13417986E-5      1.52084976E-6
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.07011493E-1      1.27841084E+0      2.01230869E-5      -1.01793557E-6
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87698305E-1      7.13171290E-1      7.43847340E-6      -2.11354345E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09732606E-1      4.40895411E-1      1.51339918E-5      -1.12690032E-6
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18490643E-1      2.68473832E-1      3.53772193E-5      -1.31567940E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22725545E-1      1.36564694E-1      2.55964696E-5      9.14558768E-7
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25345760E-1      2.08521686E-2      -2.48337165E-5      6.00796193E-6
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26159052E-1      -9.24781346E-2      -1.59293413E-5      2.25864351E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25612485E-1      -2.18296779E-1      1.46310776E-6      8.94069672E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21311657E-1      -3.77348747E-1      2.09463760E-5      3.04654241E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.07150947E-1      -6.14563706E-1      -2.37077475E-5      -2.31694430E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.43559556E-1      -1.08212316E+0      3.45539302E-5      5.96605241E-6
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.15045833E-1      -2.65281124E+0      6.10016286E-7      9.05804336E-6
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.16731560E+0      3.45143575E+0      1.36019662E-5      -1.36038288E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.63660458E-1      1.25447958E+0      -7.45989382E-6      2.58591026E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.56903790E-1      6.74836282E-1      -1.79465860E-6      5.37652522E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12098141E-1      4.00883632E-1      -5.95860183E-6      -1.62245706E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.32436318E-1      2.28190681E-1      6.15231693E-6      -3.74317169E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.39357584E-1      9.51416459E-2      -2.11419538E-5      -7.31833279E-6
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.37210351E-1      -2.35414222E-2      -5.09433448E-5      -4.07360494E-6
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.26675238E-1      -1.42978165E-1      -2.56607309E-5      -1.48592517E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.02536744E-1      -2.76516535E-1      -3.74671072E-6      -4.10899520E-6
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.53655903E-1      -4.47398251E-1      2.52425671E-5      7.07525760E-6
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.37419141E-1      -6.98309497E-1      -1.69603154E-5      3.23019922E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.19675668E-1      -1.12403579E+0      2.78409570E-5      3.54526564E-5
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.76501728E+0      -1.37336575E+0      -8.97143036E-6      -7.17118382E-7
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.33638677E+0      1.74243374E+0      -2.11223960E-5      1.33300200E-5
4.61000000E+8      1.07374182E+9      0.00000000E+0      8.89657683E-2      1.18712557E+0      -2.69338489E-6      2.79704109E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.67686464E-1      7.42106947E-1      4.83356416E-6      -1.41654164E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.53590833E-1      4.88002921E-1      -1.44634396E-6      8.72649252E-6
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.89913897E-1      3.22270156E-1      -2.10516155E-5      -2.96058133E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.08716523E-1      1.96524804E-1      1.26659870E-5      4.48636711E-5
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.21018982E-1      8.96769729E-2      1.80704519E-5      5.37652522E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.30271583E-1      -8.44044452E-3      2.05999240E-5      1.27879903E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.39422818E-1      -1.08639955E-1      -3.57637182E-5      1.61649659E-5
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.51056918E-1      -2.19601118E-1      -1.53752044E-5      -4.20445576E-5
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.69251825E-1      -3.56021018E-1      2.68220901E-6      1.19470060E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.05600013E-1      -5.45474898E-1      2.51112506E-5      6.35161996E-7
5.40750000E+8      1.07374182E+9      0.00000000E+0      7.02994401E-1      -8.56382373E-1      -4.13227826E-6      1.95614994E-5
