! NanoVNA-App
! Date: 2024-06-25 16:25:09
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29279782E-1      1.19098939E-1      1.32899731E-5      -1.27833337E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30139283E-1      2.15253880E-2      8.54954123E-7      3.87467444E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29491839E-1      -7.50432728E-2      2.02963129E-5      9.43243504E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26822156E-1      -1.80282638E-1      -1.97580084E-5      2.70605087E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22879098E-1      -3.05990890E-1      2.53748149E-5      1.22580677E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13720437E-1      -4.76336556E-1      3.88268381E-6      -5.68106771E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.90162954E-1      -7.47701924E-1      2.16262415E-5      -2.90386379E-6
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.04833735E-1      -1.33293784E+0      -1.37463212E-5      -2.24746764E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -5.99194336E-1      -3.90818927E+0      2.46278942E-5      -2.56970525E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.11726616E-1      3.66004757E+0      1.36122108E-5      -1.67386606E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05834600E-1      1.27882768E+0      2.39321962E-5      -2.82963738E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87522028E-1      7.12445168E-1      -4.13879752E-5      -2.35652551E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09215698E-1      4.40575785E-1      9.89343971E-6      -7.69644976E-6
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18582182E-1      2.68455069E-1      2.99066305E-5      1.00620091E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22748658E-1      1.36292805E-1      3.85725871E-5      1.44569203E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25155808E-1      2.08346322E-2      -1.46739185E-5      -1.82148069E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26257603E-1      -9.26106779E-2      -2.83215195E-6      -1.96686015E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25509220E-1      -2.18540449E-1      -2.11577863E-5      2.41110101E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21325216E-1      -3.77289558E-1      -2.44649127E-5      1.86003745E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.07373545E-1      -6.14754692E-1      1.00862235E-6      -7.00168312E-6
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.43724629E-1      -1.08166240E+0      -1.35367736E-5      -7.11437315E-6
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.25224435E-1      -2.65732339E+0      2.97259539E-5      4.00096178E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.15800616E+0      3.44673307E+0      -2.31871381E-5      3.57441604E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.64198670E-1      1.25667372E+0      -2.21813098E-5      -3.70442867E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.57022566E-1      6.75879378E-1      -8.88295472E-6      1.29407272E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12073398E-1      4.01223837E-1      3.37501988E-5      -1.18808821E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.32205122E-1      2.28618896E-1      2.63061374E-5      -1.62599608E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.39439013E-1      9.50156172E-2      -1.90697610E-5      1.23577192E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.37394425E-1      -2.32260848E-2      1.61640346E-5      -4.67244536E-6
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.26632764E-1      -1.42843442E-1      -1.56462193E-5      1.13975257E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.02801816E-1      -2.76532272E-1      -5.69224358E-6      -5.01703471E-6
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.53658361E-1      -4.47257123E-1      -2.39619985E-5      -8.45268369E-6
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.38480039E-1      -6.97152687E-1      -9.48552042E-6      6.71111047E-6
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.20534947E-1      -1.12415198E+0      -2.03773379E-6      2.26898119E-5
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.78353760E+0      -1.36477829E+0      -1.16815791E-5      -4.24105674E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.35047870E+0      1.74044381E+0      8.59610736E-6      -4.69107181E-6
4.61000000E+8      1.07374182E+9      0.00000000E+0      8.96071440E-2      1.18920459E+0      -2.04993412E-5      -1.93342566E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.67743261E-1      7.42248607E-1      -8.64453614E-6      -5.23217022E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.53143695E-1      4.87723958E-1      1.11758709E-6      -2.21105292E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.89934712E-1      3.22447860E-1      -2.54437327E-6      2.96998769E-6
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.08950671E-1      1.96505743E-1      2.81976536E-5      9.57772136E-6
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.21255045E-1      9.01117454E-2      -1.73998997E-5      -9.12975520E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.30313929E-1      -8.37279788E-3      3.88361514E-7      1.83638185E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.39614709E-1      -1.08495897E-1      1.85584649E-5      -1.41737983E-5
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.51029198E-1      -2.19820141E-1      -1.22785568E-5      -4.13209200E-5
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.68913752E-1      -3.56170297E-1      1.74157321E-5      1.50920823E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.05287429E-1      -5.46070252E-1      -3.91677022E-5      3.90410423E-6
5.40750000E+8      1.07374182E+9      0.00000000E+0      7.02003983E-1      -8.57649899E-1      1.98967755E-5      6.57420605E-6
5.48000000E+8      1.07374182E+9      0.00000000E+0      1.10335802E+0      -1.49011790E+0      1.41281635E-6      -2.74842605E-5
5.55250000E+8      1.07374182E+9      0.00000000E+0      3.99484183E+0      -1.58131683E+0      -1.31875277E-5      1.98688358E-5
5.62500000E+8      1.07374182E+9      0.00000000E+0      1.90545063E+0      1.76992142E+0      -2.17994675E-5      2.66153365E-5
5.69750000E+8      1.07374182E+9      0.00000000E+0      9.43842025E-1      1.02366400E+0      7.56699592E-6      -2.38809735E-5
5.77000000E+8      1.07374182E+9      0.00000000E+0      7.39669334E-1      6.43530162E-1      4.48338687E-6      4.21619043E-5
5.84250000E+8      1.07374182E+9      0.00000000E+0      6.66624652E-1      4.25305354E-1      1.42017379E-5      2.85906717E-5
5.91500000E+8      1.07374182E+9      0.00000000E+0      6.33176054E-1      2.76577141E-1      -8.78609717E-6      -1.88900158E-5
5.98750000E+8      1.07374182E+9      0.00000000E+0      6.15160041E-1      1.60073343E-1      1.30562112E-5      1.83843076E-5
6.06000000E+8      1.07374182E+9      0.00000000E+0      6.05775575E-1      6.03879348E-2      -4.64580953E-5      2.18860805E-5
6.13250000E+8      1.07374182E+9      0.00000000E+0      6.00841162E-1      -3.53479114E-2      -9.49203968E-6      1.73281878E-5
6.20500000E+8      1.07374182E+9      0.00000000E+0      5.99475855E-1      -1.35406463E-1      2.71014869E-6      -9.88971442E-6
6.27750000E+8      1.07374182E+9      0.00000000E+0      6.02213175E-1      -2.49703154E-1      -1.11451373E-5      1.59982592E-5
6.35000000E+8      1.07374182E+9      0.00000000E+0      6.08158790E-1      -3.94934129E-1      1.41840428E-5      -2.42730603E-5
6.42250000E+8      1.07374182E+9      0.00000000E+0      6.20269842E-1      -6.12442635E-1      -1.80369243E-5      3.96231189E-5
6.49500000E+8      1.07374182E+9      0.00000000E+0      6.43218067E-1      -1.01950766E+0      2.25938857E-6      -1.53435394E-5
6.56750000E+8      1.07374182E+9      0.00000000E+0      6.53377231E-1      -2.25205007E+0      -9.83104110E-6      1.05220824E-5
6.64000000E+8      1.07374182E+9      0.00000000E+0      -8.93148423E+0      1.11456040E+1      2.15843320E-5      2.28267163E-6
6.71250000E+8      1.07374182E+9      0.00000000E+0      1.62270945E-1      1.71242877E+0      3.57255340E-6      3.68058681E-6
6.78500000E+8      1.07374182E+9      0.00000000E+0      3.61048991E-1      8.50299948E-1      2.11503357E-6      -2.76118517E-5
6.85750000E+8      1.07374182E+9      0.00000000E+0      4.14692186E-1      5.11008756E-1      -9.29180533E-6      -1.39866024E-5
6.93000000E+8      1.07374182E+9      0.00000000E+0      4.35748806E-1      3.13825047E-1      2.63433903E-5      -3.62517312E-5
7.00250000E+8      1.07374182E+9      0.00000000E+0      4.43178181E-1      1.72421734E-1      -2.31154263E-6      6.15324825E-6
7.07500000E+8      1.07374182E+9      0.00000000E+0      4.42118965E-1      5.77659465E-2      -7.23171979E-6      -1.88406557E-6
7.14750000E+8      1.07374182E+9      0.00000000E+0      4.31769739E-1      -4.94643169E-2      1.94003806E-5      1.34203583E-5
7.22000000E+8      1.07374182E+9      0.00000000E+0      4.10577156E-1      -1.57237431E-1      -1.27656385E-5      2.22893432E-5
7.29250000E+8      1.07374182E+9      0.00000000E+0      3.69303912E-1      -2.75509920E-1      -2.07545236E-5      -6.83376566E-5
7.36500000E+8      1.07374182E+9      0.00000000E+0      2.88860873E-1      -4.14650629E-1      6.04009256E-5      1.83526427E-5
7.43750000E+8      1.07374182E+9      0.00000000E+0      1.21420529E-1      -5.73602745E-1      -1.50408596E-6      -1.61509961E-5
7.51000000E+8      1.07374182E+9      0.00000000E+0      -2.44607985E-1      -6.80176101E-1      -2.17575580E-5      -3.43834981E-5
7.58250000E+8      1.07374182E+9      0.00000000E+0      -7.78950003E-1      -3.49472310E-1      3.95905226E-6      -1.98120251E-5
7.65500000E+8      1.07374182E+9      0.00000000E+0      -6.66435993E-1      3.84615189E-1      -1.50967389E-5      2.39070505E-5
7.72750000E+8      1.07374182E+9      0.00000000E+0      -1.81950518E-1      5.57559790E-1      -2.97557563E-5      -2.43326649E-5
7.80000000E+8      1.07374182E+9      0.00000000E+0      9.81920561E-2      4.58705720E-1      5.01470640E-5      -1.37649477E-5
7.87250000E+8      1.07374182E+9      0.00000000E+0      2.43447513E-1      3.28663816E-1      -5.29261306E-5      -1.69770792E-5
7.94500000E+8      1.07374182E+9      0.00000000E+0      3.16635842E-1      2.13346328E-1      -1.46264210E-5      -2.98395753E-5
8.01750000E+8      1.07374182E+9      0.00000000E+0      3.57782015E-1      1.09889427E-1      -5.13009727E-5      -2.39573419E-5
8.09000000E+8      1.07374182E+9      0.00000000E+0      3.80963182E-1      1.25703937E-2      4.57027927E-5      8.81869346E-6
8.16250000E+8      1.07374182E+9      0.00000000E+0      3.92314426E-1      -8.47873290E-2      -2.53478065E-5      1.76588073E-5
8.23500000E+8      1.07374182E+9      0.00000000E+0      3.94345611E-1      -1.91883329E-1      -1.16415322E-6      1.10408291E-5
8.30750000E+8      1.07374182E+9      0.00000000E+0      3.86215961E-1      -3.19288887E-1      -6.49876893E-6      -1.16657466E-5
8.38000000E+8      1.07374182E+9      0.00000000E+0      3.59197137E-1      -4.91372445E-1      -1.35861337E-5      1.22059137E-5
8.45250000E+8      1.07374182E+9      0.00000000E+0      2.90640914E-1      -7.64580287E-1      3.48547474E-5      -2.46800482E-7
8.52500000E+8      1.07374182E+9      0.00000000E+0      5.95306090E-2      -1.34194457E+0      3.63411382E-5      1.06543303E-5
8.59750000E+8      1.07374182E+9      0.00000000E+0      -2.02106056E+0      -3.23159663E+0      -1.22552738E-5      -2.21952796E-5
8.67000000E+8      1.07374182E+9      0.00000000E+0      -4.99236704E-1      3.05609281E+0      -9.13906842E-6      -1.24797225E-7
8.74250000E+8      1.07374182E+9      0.00000000E+0      4.42764022E-1      1.23223147E+0      -3.11480835E-5      3.06637958E-5
8.81500000E+8      1.07374182E+9      0.00000000E+0      5.21077586E-1      6.81594918E-1      1.00228935E-5      -9.16328281E-6
8.88750000E+8      1.07374182E+9      0.00000000E+0      5.36344058E-1      4.17509653E-1      7.55861402E-6      1.26380473E-5
8.96000000E+8      1.07374182E+9      0.00000000E+0      5.41414440E-1      2.43603870E-1      2.36183405E-6      1.80769712E-6
9.03250000E+8      1.07374182E+9      0.00000000E+0      5.43242727E-1      1.06881668E-1      1.10669062E-5      3.44021246E-5
9.10500000E+8      1.07374182E+9      0.00000000E+0      5.45336773E-1      -1.39154104E-2      1.24052167E-5      2.47005373E-5
9.17750000E+8      1.07374182E+9      0.00000000E+0      5.47554597E-1      -1.37714651E-1      7.26990402E-6      8.08387995E-6
9.25000000E+8      1.07374182E+9      0.00000000E+0      5.51644174E-1      -2.79351477E-1      -1.30208209E-5      4.24385071E-5
9.32250000E+8      1.07374182E+9      0.00000000E+0      5.58981239E-1      -4.72714902E-1      1.25300139E-5      -1.28028914E-5
9.39500000E+8      1.07374182E+9      0.00000000E+0      5.73838218E-1      -7.85351737E-1      -2.25370750E-5      -3.20794061E-5
9.46750000E+8      1.07374182E+9      0.00000000E+0      6.18718409E-1      -1.51116933E+0      3.09282914E-5      5.00511378E-5
9.54000000E+8      1.07374182E+9      0.00000000E+0      1.04991389E+0      -7.03753794E+0      2.73445621E-5      1.41086057E-5
9.61250000E+8      1.07374182E+9      0.00000000E+0      3.63719785E-1      2.89226859E+0      -9.77981836E-6      1.46497041E-5
9.68500000E+8      1.07374182E+9      0.00000000E+0      4.46700317E-1      1.15607264E+0      3.83146107E-5      -2.62903050E-5
9.75750000E+8      1.07374182E+9      0.00000000E+0      4.66762025E-1      6.83065565E-1      -3.33460048E-5      6.47269189E-6
9.83000000E+8      1.07374182E+9      0.00000000E+0      4.73839963E-1      4.40980632E-1      1.16191804E-5      -2.14697793E-5
9.90250000E+8      1.07374182E+9      0.00000000E+0      4.74505537E-1      2.84952951E-1      7.47013837E-6      2.32132152E-5
9.97500000E+8      1.07374182E+9      0.00000000E+0      4.72042318E-1      1.65188086E-1      -3.18605453E-6      -6.13927841E-6
1.00475000E+9      1.07374182E+9      0.00000000E+0      4.65695690E-1      6.53336857E-2      2.91978940E-5      -1.64816156E-5
1.01200000E+9      1.07374182E+9      0.00000000E+0      4.54898728E-1      -2.90766920E-2      -6.12810254E-6      -1.18818134E-5
1.01925000E+9      1.07374182E+9      0.00000000E+0      4.37229825E-1      -1.21562782E-1      3.57721001E-6      -5.90253621E-5
1.02650000E+9      1.07374182E+9      0.00000000E+0      4.08303046E-1      -2.21460448E-1      -8.38935375E-6      -3.92254442E-5
1.03375000E+9      1.07374182E+9      0.00000000E+0      3.59263065E-1      -3.34776439E-1      -3.19257379E-6      -2.69897282E-6
1.04100000E+9      1.07374182E+9      0.00000000E+0      2.69392889E-1      -4.67033330E-1      -2.66572461E-5      -1.04317442E-5
1.04825000E+9      1.07374182E+9      0.00000000E+0      8.76749185E-2      -6.16953121E-1      -7.87526369E-6      4.04426828E-5
