! NanoVNA-App
! Date: 2024-06-25 16:29:03
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29179844E-1      1.18953968E-1      -1.40070915E-6      -1.68439001E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30143508E-1      2.15802119E-2      -2.05747783E-5      -2.72085890E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29851477E-1      -7.50825321E-2      2.61152163E-5      -4.41260636E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.27081007E-1      -1.80503536E-1      -2.50181183E-5      -1.44168735E-6
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22470456E-1      -3.06110848E-1      4.22513112E-5      -6.91972673E-6
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13701037E-1      -4.76889011E-1      8.09784979E-6      -4.35672700E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.89454941E-1      -7.49820433E-1      -1.19013712E-5      2.67960131E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.05714169E-1      -1.33321977E+0      -1.44075602E-5      -4.99561429E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -6.32394649E-1      -3.93272879E+0      -1.60094351E-6      -1.99852511E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -4.81338491E-1      3.65707656E+0      -1.65589154E-6      -2.71089375E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05950186E-1      1.27766842E+0      -8.13975930E-6      -2.98768282E-6
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87852200E-1      7.13170402E-1      -2.78595835E-5      3.17143276E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09628415E-1      4.40603784E-1      -1.72127038E-5      -1.36550516E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18324941E-1      2.68128182E-1      -1.35144219E-5      -3.43527645E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.23041634E-1      1.36353217E-1      2.34441832E-5      1.05733052E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25170285E-1      2.08563659E-2      1.61025673E-6      2.56476924E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26113894E-1      -9.28388289E-2      8.86619091E-7      -1.79056078E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25358011E-1      -2.18807226E-1      -1.48387626E-5      -2.12537125E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21467310E-1      -3.77556038E-1      -1.01756305E-5      3.84254381E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.07468753E-1      -6.15425654E-1      -6.82845712E-6      1.55596063E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.40461616E-1      -1.08442481E+0      -1.32443383E-5      -1.64462253E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.44174238E-1      -2.66256308E+0      3.21250409E-5      1.12624839E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.13317661E+0      3.45738126E+0      6.69341534E-6      2.84276903E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.63642327E-1      1.25639037E+0      -6.67478889E-6      -4.37293202E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.56929015E-1      6.74464652E-1      1.33505091E-5      2.37021595E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12281222E-1      4.01118125E-1      9.96515155E-6      -1.95978209E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.32671236E-1      2.28118463E-1      2.60490924E-6      8.39121640E-6
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.39245878E-1      9.48932680E-2      -1.33728608E-5      1.02259219E-6
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.37090371E-1      -2.39299951E-2      1.17765740E-5      7.63591379E-6
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.26335145E-1      -1.42784485E-1      1.73933804E-5      -2.71704048E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.02583720E-1      -2.76830433E-1      -9.59914178E-6      -1.53258443E-5
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.53696480E-1      -4.47732224E-1      -1.76951289E-8      -1.66743994E-5
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.37952868E-1      -6.99317496E-1      -2.35447660E-5      -2.22912058E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.19292812E-1      -1.12384708E+0      -3.16165388E-5      2.64905393E-5
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.77506522E+0      -1.36531870E+0      -4.88571823E-6      -1.10790133E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.32946397E+0      1.73922375E+0      -1.61286443E-5      1.85258687E-5
4.61000000E+8      1.07374182E+9      0.00000000E+0      8.91701622E-2      1.18562335E+0      -2.46027485E-5      -2.74395570E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.68164839E-1      7.41050808E-1      -1.71493739E-5      8.19191337E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.53242588E-1      4.87832439E-1      -9.83942300E-6      -2.21431255E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.90080196E-1      3.21813901E-1      1.49067491E-5      -2.92658806E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.08957897E-1      1.96100423E-1      -2.34730542E-5      1.66632235E-5
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.21364157E-1      8.97716378E-2      -4.02517617E-6      2.68463045E-5
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.30144202E-1      -8.62545842E-3      -6.13117591E-5      3.14731151E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.39829042E-1      -1.08592469E-1      1.47959217E-5      4.60445881E-6
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.51322556E-1      -2.19778087E-1      5.84572554E-5      4.14634123E-5
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.69009912E-1      -3.56822768E-1      -2.87871808E-6      1.57104805E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.05724846E-1      -5.45981051E-1      3.01813707E-5      4.54848632E-5
5.40750000E+8      1.07374182E+9      0.00000000E+0      7.02088110E-1      -8.59972281E-1      -6.16349280E-6      -1.04494393E-6
5.48000000E+8      1.07374182E+9      0.00000000E+0      1.11028689E+0      -1.49398872E+0      -2.79089436E-5      3.32333148E-5
5.55250000E+8      1.07374182E+9      0.00000000E+0      4.02675697E+0      -1.57081832E+0      1.03665516E-5      -2.43345276E-5
5.62500000E+8      1.07374182E+9      0.00000000E+0      1.89966988E+0      1.76967007E+0      2.39647925E-5      -2.06315890E-5
5.69750000E+8      1.07374182E+9      0.00000000E+0      9.44453121E-1      1.02461023E+0      -2.41547823E-5      4.90713865E-6
5.77000000E+8      1.07374182E+9      0.00000000E+0      7.39501031E-1      6.43197779E-1      -1.46571547E-5      -6.73159957E-6
5.84250000E+8      1.07374182E+9      0.00000000E+0      6.66723453E-1      4.24908452E-1      3.70480120E-6      4.61935997E-6
5.91500000E+8      1.07374182E+9      0.00000000E+0      6.32764957E-1      2.75813016E-1      -1.74716115E-5      -4.10322100E-5
5.98750000E+8      1.07374182E+9      0.00000000E+0      6.15126528E-1      1.60339938E-1      -1.60289928E-5      8.37352127E-6
6.06000000E+8      1.07374182E+9      0.00000000E+0      6.05443303E-1      5.98638147E-2      -2.91988254E-5      -2.74181366E-6
6.13250000E+8      1.07374182E+9      0.00000000E+0      6.00593331E-1      -3.57707828E-2      -1.37761235E-5      -1.66576356E-5
6.20500000E+8      1.07374182E+9      0.00000000E+0      5.99523515E-1      -1.35822155E-1      2.09342688E-5      3.44291329E-5
6.27750000E+8      1.07374182E+9      0.00000000E+0      6.01693819E-1      -2.50511896E-1      2.26367265E-5      -2.93087214E-6
6.35000000E+8      1.07374182E+9      0.00000000E+0      6.08637753E-1      -3.95463459E-1      5.00585884E-6      1.78450719E-5
6.42250000E+8      1.07374182E+9      0.00000000E+0      6.20494872E-1      -6.14323116E-1      1.87791884E-5      -9.72766429E-6
6.49500000E+8      1.07374182E+9      0.00000000E+0      6.42501580E-1      -1.01930295E+0      2.21533701E-5      -2.52015889E-5
6.56750000E+8      1.07374182E+9      0.00000000E+0      6.55450491E-1      -2.25575009E+0      -3.88463959E-5      1.22282654E-5
6.64000000E+8      1.07374182E+9      0.00000000E+0      -8.73628431E+0      1.06590072E+1      2.13813037E-5      -4.08831984E-5
6.71250000E+8      1.07374182E+9      0.00000000E+0      1.63978042E-1      1.71449277E+0      -1.20485201E-5      4.21982259E-6
6.78500000E+8      1.07374182E+9      0.00000000E+0      3.59738751E-1      8.48012306E-1      2.15778127E-5      1.34091824E-5
6.85750000E+8      1.07374182E+9      0.00000000E+0      4.14404554E-1      5.09686633E-1      1.20224431E-5      -8.47131014E-6
6.93000000E+8      1.07374182E+9      0.00000000E+0      4.36087096E-1      3.12432935E-1      1.62553042E-5      5.86174428E-6
7.00250000E+8      1.07374182E+9      0.00000000E+0      4.43207585E-1      1.72704566E-1      5.40399924E-5      -1.03907660E-5
7.07500000E+8      1.07374182E+9      0.00000000E+0      4.41976621E-1      5.69279475E-2      -8.15093517E-6      -4.02051955E-5
7.14750000E+8      1.07374182E+9      0.00000000E+0      4.31796170E-1      -5.00284936E-2      -3.15243378E-5      1.32992864E-6
7.22000000E+8      1.07374182E+9      0.00000000E+0      4.10012475E-1      -1.57479028E-1      -1.80033967E-5      -2.85543501E-6
7.29250000E+8      1.07374182E+9      0.00000000E+0      3.68689500E-1      -2.76449461E-1      -6.49597496E-6      -5.71180135E-6
7.36500000E+8      1.07374182E+9      0.00000000E+0      2.88265894E-1      -4.14431903E-1      3.10894102E-5      3.34298238E-5
7.43750000E+8      1.07374182E+9      0.00000000E+0      1.20434592E-1      -5.74303829E-1      3.97451222E-5      -1.56825408E-5
7.51000000E+8      1.07374182E+9      0.00000000E+0      -2.46507087E-1      -6.77788094E-1      -1.87102705E-6      -2.86102295E-6
7.58250000E+8      1.07374182E+9      0.00000000E+0      -7.80402237E-1      -3.48960371E-1      -1.37435272E-5      2.78605148E-5
7.65500000E+8      1.07374182E+9      0.00000000E+0      -6.66389879E-1      3.84511084E-1      2.53506005E-6      1.54916197E-5
7.72750000E+8      1.07374182E+9      0.00000000E+0      -1.80301341E-1      5.56830096E-1      -1.36196613E-5      -1.02166086E-6
7.80000000E+8      1.07374182E+9      0.00000000E+0      9.93786523E-2      4.57105813E-1      -9.20984894E-6      3.05268914E-5
7.87250000E+8      1.07374182E+9      0.00000000E+0      2.43741063E-1      3.27746779E-1      -3.34251672E-5      -3.68990004E-5
7.94500000E+8      1.07374182E+9      0.00000000E+0      3.16385652E-1      2.12834093E-1      4.31574881E-6      -1.17393211E-5
8.01750000E+8      1.07374182E+9      0.00000000E+0      3.57899585E-1      1.09663240E-1      2.43531540E-5      1.78720802E-5
8.09000000E+8      1.07374182E+9      0.00000000E+0      3.80681230E-1      1.19431764E-2      3.44589353E-7      -1.28876418E-5
8.16250000E+8      1.07374182E+9      0.00000000E+0      3.92239905E-1      -8.52549813E-2      4.04510647E-5      -3.31038609E-5
8.23500000E+8      1.07374182E+9      0.00000000E+0      3.94196910E-1      -1.92498624E-1      2.21189111E-5      2.49585137E-5
8.30750000E+8      1.07374182E+9      0.00000000E+0      3.85779145E-1      -3.18090889E-1      -2.72924080E-5      2.89659947E-5
8.38000000E+8      1.07374182E+9      0.00000000E+0      3.58331362E-1      -4.93263418E-1      -7.62753189E-7      -2.22735107E-5
8.45250000E+8      1.07374182E+9      0.00000000E+0      2.90113289E-1      -7.66073027E-1      -2.60043889E-5      2.31061131E-6
8.52500000E+8      1.07374182E+9      0.00000000E+0      5.66527349E-2      -1.34431363E+0      -1.70394778E-5      1.51740387E-5
8.59750000E+8      1.07374182E+9      0.00000000E+0      -2.05986067E+0      -3.21458455E+0      2.64681876E-6      2.01351941E-5
8.67000000E+8      1.07374182E+9      0.00000000E+0      -4.98626383E-1      3.04296354E+0      -1.52494758E-5      -1.91507861E-5
8.74250000E+8      1.07374182E+9      0.00000000E+0      4.44363756E-1      1.22475368E+0      1.67628750E-5      -2.56858766E-6
8.81500000E+8      1.07374182E+9      0.00000000E+0      5.19909500E-1      6.79461953E-1      3.54321674E-5      -3.96082178E-5
8.88750000E+8      1.07374182E+9      0.00000000E+0      5.36032235E-1      4.17060787E-1      -1.97822228E-5      3.24510038E-5
8.96000000E+8      1.07374182E+9      0.00000000E+0      5.41278524E-1      2.42977707E-1      1.31875277E-6      4.36324626E-6
9.03250000E+8      1.07374182E+9      0.00000000E+0      5.43630766E-1      1.07643237E-1      1.00582838E-6      -2.98786908E-5
9.10500000E+8      1.07374182E+9      0.00000000E+0      5.44703752E-1      -1.55711624E-2      -1.94460154E-6      -5.01237810E-6
9.17750000E+8      1.07374182E+9      0.00000000E+0      5.47141788E-1      -1.38243398E-1      -9.84407961E-6      1.05155632E-5
9.25000000E+8      1.07374182E+9      0.00000000E+0      5.51245510E-1      -2.79468011E-1      -1.77090988E-5      3.69437039E-5
9.32250000E+8      1.07374182E+9      0.00000000E+0      5.58651441E-1      -4.72759424E-1      -2.66907737E-5      -2.31768936E-5
9.39500000E+8      1.07374182E+9      0.00000000E+0      5.73982949E-1      -7.86021646E-1      1.10808760E-5      1.07195228E-5
9.46750000E+8      1.07374182E+9      0.00000000E+0      6.12884843E-1      -1.51902768E+0      1.20885670E-6      4.00329009E-5
9.54000000E+8      1.07374182E+9      0.00000000E+0      1.07940261E+0      -7.02176325E+0      -1.86525285E-5      -3.85874882E-5
9.61250000E+8      1.07374182E+9      0.00000000E+0      3.73133178E-1      2.90346254E+0      -3.74671072E-6      -3.17860395E-5
9.68500000E+8      1.07374182E+9      0.00000000E+0      4.46050360E-1      1.15272245E+0      9.26386565E-6      1.12801790E-5
9.75750000E+8      1.07374182E+9      0.00000000E+0      4.66303871E-1      6.81558579E-1      1.21109188E-5      2.05822289E-6
9.83000000E+8      1.07374182E+9      0.00000000E+0      4.73117667E-1      4.40059149E-1      2.14353204E-5      4.21609730E-5
9.90250000E+8      1.07374182E+9      0.00000000E+0      4.74238210E-1      2.84905881E-1      -3.43313441E-5      2.73296610E-5
9.97500000E+8      1.07374182E+9      0.00000000E+0      4.71947791E-1      1.65148777E-1      3.84040177E-5      -1.14003196E-5
1.00475000E+9      1.07374182E+9      0.00000000E+0      4.65352695E-1      6.47314620E-2      1.91852450E-5      -6.01541251E-6
1.01200000E+9      1.07374182E+9      0.00000000E+0      4.54636524E-1      -2.90227394E-2      -9.77981836E-6      -1.69426203E-5
