! NanoVNA-App
! Date: 2024-06-25 16:28:52
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29017465E-1      1.19118203E-1      -1.35079026E-5      1.39847398E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30278613E-1      2.15149670E-2      9.04873013E-6      3.01282853E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29430878E-1      -7.52206479E-2      -1.02603808E-5      -1.08247623E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26872651E-1      -1.80392643E-1      2.06995755E-5      1.18110329E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22515042E-1      -3.06426221E-1      -2.73343176E-5      3.77651304E-6
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13675685E-1      -4.76921376E-1      -8.76002014E-6      9.25268978E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.90495616E-1      -7.48710771E-1      -7.34161586E-6      -2.97483057E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.05531884E-1      -1.33281410E+0      -1.40657648E-5      9.22940671E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -6.18582610E-1      -3.92876492E+0      -4.39360738E-5      -1.66455284E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -4.76904532E-1      3.66904135E+0      2.01379880E-5      2.45263800E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.06605466E-1      1.27859157E+0      -3.80910933E-7      -1.84196979E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87847053E-1      7.11829115E-1      -4.96022403E-6      -7.37141818E-6
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09478967E-1      4.40994417E-1      2.93469056E-5      1.69975683E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18452992E-1      2.68331458E-1      1.32489949E-5      -1.53332949E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22638569E-1      1.36164273E-1      -1.59321353E-5      -1.72080472E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25363102E-1      2.07664959E-2      -2.20853835E-5      1.14981085E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.25956238E-1      -9.27000131E-2      5.63357025E-6      -1.19507313E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25374755E-1      -2.18898467E-1      1.29910186E-5      8.10064375E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21332627E-1      -3.77943491E-1      -5.02448529E-6      -2.42413953E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.06319948E-1      -6.15778530E-1      -7.39470124E-6      1.50231645E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.40421237E-1      -1.08451626E+0      7.51111656E-6      2.30344012E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.25715236E-1      -2.66594501E+0      7.33230263E-6      1.08331442E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.15109309E+0      3.43780875E+0      -2.68323347E-5      2.56560743E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.63893498E-1      1.25509200E+0      7.87526369E-6      -3.22964042E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.56898533E-1      6.75283782E-1      2.14576721E-5      3.02921981E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12016795E-1      4.00850446E-1      1.30226836E-5      -3.45772132E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.32528935E-1      2.28183483E-1      -3.45939770E-5      2.97557563E-6
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.39139099E-1      9.46564941E-2      1.66837126E-5      -2.08783895E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.37257430E-1      -2.40222256E-2      3.24686989E-5      9.35699791E-6
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.26677689E-1      -1.42880363E-1      4.73205000E-6      -3.28375027E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.02812915E-1      -2.76617107E-1      1.11842528E-5      1.86488032E-5
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.52981475E-1      -4.48243791E-1      2.29729339E-5      -5.72782010E-5
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.38100877E-1      -6.98804234E-1      -1.88685954E-5      1.35023147E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.20574944E-1      -1.12477778E+0      -1.27507374E-5      -5.25824726E-6
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.78789248E+0      -1.36283448E+0      5.29922545E-7      2.62027606E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.33167792E+0      1.74725709E+0      4.23910096E-5      -5.42029738E-5
4.61000000E+8      1.07374182E+9      0.00000000E+0      9.09696076E-2      1.18683364E+0      1.69221312E-6      9.39704478E-7
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.68533043E-1      7.41368513E-1      1.51963905E-5      3.80342826E-5
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.53295587E-1      4.87720993E-1      3.78536060E-5      -2.15852633E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.89924269E-1      3.22049154E-1      1.24080107E-5      2.94633210E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.08744924E-1      1.95909347E-1      1.94786116E-5      1.10054389E-5
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.21087953E-1      8.97087928E-2      3.01115215E-5      -3.28756869E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.30402701E-1      -8.65030732E-3      -1.57048926E-5      -3.67090106E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.39390131E-1      -1.08831691E-1      -1.20420009E-6      -3.30340117E-6
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.50886885E-1      -2.20009834E-1      2.18283385E-5      8.00471753E-6
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.69260810E-1      -3.56589155E-1      -2.84370035E-5      -3.47280875E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.04882586E-1      -5.47036762E-1      5.95860183E-6      5.78714535E-5
