! NanoVNA-App
! Date: 2024-06-25 16:30:02
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.28955864E-1      1.17555276E-1      3.55672091E-6      -4.73391265E-6
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.29972516E-1      2.01298635E-2      3.72342765E-6      1.29174441E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29402544E-1      -7.66294889E-2      1.03870407E-5      -1.42874196E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26434107E-1      -1.82295388E-1      -1.09709799E-6      2.64057890E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22841619E-1      -3.08253493E-1      1.66641548E-5      -1.30012631E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.12959103E-1      -4.80515236E-1      -6.49038702E-6      -1.64229423E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.88413643E-1      -7.54987643E-1      1.55055895E-5      -7.35837966E-6
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.00684486E-1      -1.34930699E+0      -1.84252858E-5      -7.41053373E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -7.08470432E-1      -4.03206948E+0      6.72694296E-6      2.00597569E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -4.44648976E-1      3.56033623E+0      1.58976763E-5      3.81935388E-6
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05242640E-1      1.26173654E+0      3.49190086E-5      -2.42544338E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87050046E-1      7.05480239E-1      -9.29087400E-6      1.09430403E-6
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.08768794E-1      4.36611060E-1      -2.12825835E-5      2.82479450E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18018565E-1      2.65179903E-1      -1.06208026E-5      -4.56506386E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22604531E-1      1.33790632E-1      -1.20522454E-5      3.20374966E-6
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25106527E-1      1.85014478E-2      1.97840855E-5      7.71135092E-7
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.25504859E-1      -9.53060864E-2      3.49683687E-5      -1.14506111E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.24614801E-1      -2.21695635E-1      1.09430403E-6      -1.19693577E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.20366905E-1      -3.81843774E-1      -3.30470502E-5      1.22617930E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.04464236E-1      -6.21485300E-1      -2.53422186E-5      -2.76975334E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.33976478E-1      -1.09940657E+0      -8.87922943E-6      -2.01761723E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -3.15463959E-1      -2.72265419E+0      1.59321353E-5      -1.91889703E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -1.97816836E+0      3.32021111E+0      -4.29796055E-5      -1.12857670E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.68069890E-1      1.23296776E+0      -3.42288986E-5      1.58939511E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.57144725E-1      6.65892833E-1      5.02914190E-8      4.71156090E-6
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.11285094E-1      3.95631862E-1      -2.38372013E-5      3.31597403E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.31842228E-1      2.24490526E-1      -5.65312803E-7      2.40933150E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.38320236E-1      9.17444264E-2      -6.83497638E-6      -1.71987340E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.36276261E-1      -2.70388964E-2      -5.05521894E-6      -1.88620761E-5
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.25135479E-1      -1.46304861E-1      -6.80051744E-6      1.55214220E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.00910423E-1      -2.80326244E-1      -1.89859420E-5      -3.71225178E-6
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.50148707E-1      -4.53221305E-1      -2.29198486E-6      -1.40853226E-5
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.29594045E-1      -7.06243381E-1      2.71415338E-5      3.35276127E-6
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.44270522E-1      -1.13451043E+0      2.09026039E-5      -4.90806997E-6
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.85304819E+0      -1.30246193E+0      -8.96584243E-6      4.98574227E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.26212669E+0      1.72017258E+0      5.70658594E-5      2.47573480E-5
4.61000000E+8      1.07374182E+9      0.00000000E+0      9.88805936E-2      1.16610747E+0      1.95046887E-5      1.34464353E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.67599427E-1      7.30392656E-1      1.32750720E-5      3.49711627E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.52817303E-1      4.81580934E-1      5.49387187E-6      5.05093485E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.89026177E-1      3.17428652E-1      -1.28317624E-5      5.17033041E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      5.08005731E-1      1.92362542E-1      -1.21286139E-5      4.31481749E-5
4.97250000E+8      1.07374182E+9      0.00000000E+0      5.20128858E-1      8.66011728E-2      1.72276050E-5      -6.74556941E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      5.29304665E-1      -1.22828903E-2      -1.27516687E-5      1.15837902E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      5.38677344E-1      -1.12307173E-1      7.87992030E-6      8.25617462E-6
5.19000000E+8      1.07374182E+9      0.00000000E+0      5.50051012E-1      -2.24079324E-1      -3.28356400E-5      7.90506601E-6
5.26250000E+8      1.07374182E+9      0.00000000E+0      5.68067125E-1      -3.61290866E-1      5.03566116E-6      1.97039917E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      6.04440735E-1      -5.54413197E-1      1.39782205E-5      -4.22876328E-5
5.40750000E+8      1.07374182E+9      0.00000000E+0      7.03156235E-1      -8.72950462E-1      2.99401581E-5      -2.97799706E-5
5.48000000E+8      1.07374182E+9      0.00000000E+0      1.12250236E+0      -1.53144059E+0      -8.72276723E-6      -4.09753993E-5
5.55250000E+8      1.07374182E+9      0.00000000E+0      4.22251754E+0      -1.48456406E+0      -1.68764964E-5      8.53184611E-6
