! NanoVNA-App
! Date: 2024-06-25 16:30:00
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.28913736E-1      1.17625165E-1      4.39584255E-6      6.53974712E-6
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.29858701E-1      2.02157012E-2      7.31274486E-6      8.79913568E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29341740E-1      -7.67417344E-2      -3.06889415E-5      -1.26007944E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26483873E-1      -1.82191163E-1      3.27387825E-5      -5.95115125E-6
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22414044E-1      -3.08513065E-1      -1.67516991E-5      1.60420313E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13047609E-1      -4.80324027E-1      -1.05248764E-5      1.72285363E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.88607079E-1      -7.54733568E-1      -2.85357237E-6      -1.32191926E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      3.99397322E-1      -1.34965077E+0      6.92158937E-6      -6.92531466E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -7.21377765E-1      -4.04122789E+0      -2.48271972E-5      9.70903784E-6
2.65250000E+8      1.07374182E+9      0.00000000E+0      -4.65138777E-1      3.54351631E+0      -3.38852406E-5      1.55763701E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.04478006E-1      1.26030845E+0      -9.16700810E-6      2.57715583E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.86018606E-1      7.05745319E-1      7.00447708E-6      -5.17256558E-6
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.08773201E-1      4.36482422E-1      -8.47689807E-6      -3.64203006E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.17954802E-1      2.65452798E-1      2.12341547E-6      -4.12110239E-6
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22545870E-1      1.33724911E-1      -2.31275335E-5      1.50380656E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.24963839E-1      1.85573542E-2      4.46848571E-6      7.29877502E-6
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.25448801E-1      -9.52341398E-2      -2.06194818E-5      1.34129077E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.24897416E-1      -2.21429830E-1      -2.28239223E-5      4.42489982E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.20360101E-1      -3.81557584E-1      2.45776027E-5      -2.93375924E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.05247461E-1      -6.21507167E-1      -1.53938308E-5      2.76826322E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.36616492E-1      -1.09965082E+0      2.61990353E-5      3.62191349E-6
3.52250000E+8      1.07374182E+9      0.00000000E+0      -3.01715458E-1      -2.72846691E+0      -1.45286322E-6      -3.53483483E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -1.96494763E+0      3.32441701E+0      5.07384539E-6      -9.94838774E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.66440937E-1      1.23131659E+0      1.17430463E-5      2.12499872E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.56353261E-1      6.65521121E-1      -1.61258504E-5      1.99014321E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.11363470E-1      3.95833562E-1      2.33110040E-5      -3.73143703E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.31860151E-1      2.24269120E-1      3.05278227E-5      -1.70916319E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.38404472E-1      9.16902523E-2      -1.84280798E-5      -1.63679942E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.36234869E-1      -2.72028179E-2      1.56369060E-6      2.64775008E-5
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.25276787E-1      -1.46069985E-1      -1.75461173E-6      -1.05053186E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.01000621E-1      -2.80213757E-1      1.06543303E-6      3.51294875E-5
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.50354442E-1      -4.52939394E-1      -2.96104699E-5      3.98335978E-5
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.28879201E-1      -7.05857135E-1      -2.10935250E-5      -9.12044197E-6
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.42592677E-1      -1.13508676E+0      -4.65689227E-5      9.73418355E-6
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.84696684E+0      -1.30143985E+0      -5.76209277E-6      -2.22772360E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.25440221E+0      1.72725598E+0      4.36352566E-5      -5.80027699E-6
4.61000000E+8      1.07374182E+9      0.00000000E+0      9.88930037E-2      1.16580227E+0      -3.59481201E-5      -2.12620944E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      3.68057899E-1      7.29677177E-1      -8.67992640E-6      -9.31043178E-6
4.75500000E+8      1.07374182E+9      0.00000000E+0      4.52708247E-1      4.81189314E-1      -5.54760918E-5      -6.55371696E-6
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.89124365E-1      3.17358634E-1      2.15880573E-6      2.53403559E-5
