! NanoVNA-App
! Date: 2024-06-25 16:33:42
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      4.80592527E-1      1.20815823E-1      3.38908285E-6      8.10064375E-6
2.07250000E+8      1.07374182E+9      0.00000000E+0      4.84197970E-1      2.43969386E-2      1.60336494E-5      2.32569873E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      4.81921012E-1      -7.09133588E-2      1.90436840E-5      -4.17139381E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      4.73682677E-1      -1.74404456E-1      -5.52553684E-6      -1.53975561E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      4.57068678E-1      -2.96285595E-1      1.18026510E-5      -1.55307353E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      4.20300612E-1      -4.57315125E-1      1.92346051E-5      4.93228436E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      3.34444499E-1      -6.98670825E-1      1.81877986E-5      -1.55903399E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      5.58025847E-2      -1.13686835E+0      -2.37282366E-5      -2.02385709E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -1.45699275E+0      -1.70012701E+0      -8.89599323E-6      2.13207677E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -1.57504102E+0      1.64528704E+0      -1.03190541E-5      3.66531312E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      3.07460409E-2      1.13248877E+0      -3.26409936E-5      -1.60792843E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      3.24434087E-1      6.85476101E-1      -1.78320333E-5      -5.79841435E-6
2.87000000E+8      1.07374182E+9      0.00000000E+0      4.12820487E-1      4.33049750E-1      -1.26808882E-5      2.01314688E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      4.49240293E-1      2.66596762E-1      8.89319927E-6      -7.98143446E-7
3.01500000E+8      1.07374182E+9      0.00000000E+0      4.65478691E-1      1.36692742E-1      -1.10734254E-6      1.96220353E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      4.72498741E-1      2.23007648E-2      3.50736082E-6      -7.29784369E-6
3.16000000E+8      1.07374182E+9      0.00000000E+0      4.71713628E-1      -8.96802006E-2      -2.77673826E-5      1.98604539E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      4.62377632E-1      -2.13154724E-1      -1.46077946E-5      -5.64940274E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      4.38188004E-1      -3.65528644E-1      1.94646418E-5      1.45332888E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      3.75931073E-1      -5.82601133E-1      -8.32416117E-6      -1.90837309E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      1.75130231E-1      -9.49709679E-1      1.99396163E-6      -2.34134495E-6
3.52250000E+8      1.07374182E+9      0.00000000E+0      -8.07000725E-1      -1.49619000E+0      4.65111807E-5      -3.44682485E-6
3.59500000E+8      1.07374182E+9      0.00000000E+0      -1.85622229E+0      8.81813362E-1      -3.80892307E-5      1.16778538E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      -1.88266153E-1      1.01748269E+0      -1.49970874E-5      2.76165083E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      1.96963465E-1      6.25568098E-1      -7.77468085E-6      1.67321414E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      3.15802473E-1      3.87326070E-1      -3.08798626E-5      -2.34162435E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      3.61980533E-1      2.25015019E-1      1.27432868E-5      -1.77528709E-5
