! NanoVNA-App
! Date: 2024-06-25 16:25:17
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29079460E-1      1.19124280E-1      8.56723636E-6      -3.02242115E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30145963E-1      2.15075827E-2      -2.05924734E-5      -1.14403665E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29736514E-1      -7.50424154E-2      5.34672290E-6      3.72249633E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26955997E-1      -1.80260120E-1      1.03246421E-5      -1.02659687E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22799390E-1      -3.05980631E-1      1.66036189E-5      -1.95549801E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13564551E-1      -4.76873261E-1      1.28913671E-5      6.28083944E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.91173984E-1      -7.47907083E-1      -8.26735049E-6      1.58585608E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.05617971E-1      -1.33369386E+0      -8.51415098E-6      -2.24299729E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -6.09739638E-1      -3.92768305E+0      7.72997737E-7      2.51224265E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.03202378E-1      3.65765989E+0      1.60476193E-5      3.54554504E-6
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.05694751E-1      1.27746987E+0      3.28104943E-6      3.75136733E-6
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87766856E-1      7.12601046E-1      -4.67896461E-6      -3.39467078E-6
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09229523E-1      4.40998664E-1      -8.56164843E-6      2.94791535E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18586941E-1      2.68732215E-1      -2.03317031E-5      -1.28168613E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.23118537E-1      1.36499137E-1      -2.44313851E-5      -1.02818012E-6
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25247942E-1      2.10254501E-2      -1.88127160E-6      -3.59695405E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.26307515E-1      -9.24121067E-2      2.98023224E-6      8.88761133E-6
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25298921E-1      -2.18376548E-1      3.48426402E-5      -2.39443034E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21418912E-1      -3.77657616E-1      -9.16142017E-6      1.04680657E-6
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.07120049E-1      -6.15430329E-1      9.02451575E-7      3.07615846E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.42530715E-1      -1.08266020E+0      -2.02450901E-5      -2.44425610E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.18980477E-1      -2.65624826E+0      2.04751268E-5      -6.63939863E-6
3.59500000E+8      1.07374182E+9      0.00000000E+0      -2.14964491E+0      3.43591227E+0      2.23955140E-5      -4.25614417E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.63109219E-1      1.25897655E+0      -3.42456624E-5      2.81138346E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.56636223E-1      6.74532074E-1      1.18603930E-5      -1.73170120E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.12332004E-1      4.01748615E-1      -1.60764903E-5      -5.21168113E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.31969324E-1      2.28298277E-1      9.64757055E-6      -7.58934766E-6
