! NanoVNA-App
! Date: 2024-06-25 16:28:55
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.29055690E-1      1.18899061E-1      -1.82287768E-5      1.32592395E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.30245966E-1      2.14978261E-2      1.98017806E-5      1.98837370E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29480835E-1      -7.51244600E-2      3.91434878E-6      -8.71811062E-6
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26748391E-1      -1.80480137E-1      3.87988985E-6      4.99933958E-6
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22748763E-1      -3.06343345E-1      -9.90927219E-7      3.50549817E-6
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.13157085E-1      -4.77219181E-1      -1.70795247E-5      5.66244125E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.90528094E-1      -7.49026647E-1      -3.39467078E-6      -2.06958503E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.05168406E-1      -1.33571060E+0      7.17770308E-6      -1.99917704E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -6.18825471E-1      -3.94543015E+0      1.19833276E-5      -6.04428351E-6
2.65250000E+8      1.07374182E+9      0.00000000E+0      -5.05272231E-1      3.65851410E+0      -2.36593187E-5      1.11479312E-6
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.04975808E-1      1.27716300E+0      3.09199095E-6      -6.66081905E-6
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87981842E-1      7.12822055E-1      4.21702862E-6      2.54586339E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.09302425E-1      4.40665705E-1      7.28294253E-7      9.88505781E-6
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18437174E-1      2.68082169E-1      -1.31484121E-5      -2.06558034E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22963385E-1      1.36621531E-1      2.18283385E-5      2.31452286E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.24975040E-1      2.08603700E-2      9.51718539E-6      -2.70893797E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.25936266E-1      -9.28953053E-2      -6.49318099E-6      -2.49734148E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.25661499E-1      -2.18601642E-1      -7.78771937E-6      2.14269385E-5
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.21301574E-1      -3.77560944E-1      -3.39569524E-5      2.74674967E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.06797234E-1      -6.15351824E-1      -6.87409192E-6      3.40864062E-6
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.40700603E-1      -1.08538966E+0      -2.78558582E-6      2.65501440E-5
