! NanoVNA-App
! Date: 2024-06-25 16:30:08
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      5.28918073E-1      1.17558353E-1      6.50156289E-6      -1.39279291E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      5.29796212E-1      2.00477189E-2      1.07148662E-5      -7.56606460E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      5.29263321E-1      -7.65618177E-2      -7.26152211E-6      -5.23878261E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      5.26577007E-1      -1.82207371E-1      -1.42864883E-5      1.48983672E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      5.22576845E-1      -3.08391327E-1      1.12606212E-5      -7.51577318E-7
2.36250000E+8      1.07374182E+9      0.00000000E+0      5.12430015E-1      -4.80675745E-1      2.16346234E-5      -9.27504152E-6
2.43500000E+8      1.07374182E+9      0.00000000E+0      4.88657995E-1      -7.54460591E-1      -1.98530033E-5      5.64940274E-6
2.50750000E+8      1.07374182E+9      0.00000000E+0      4.00101826E-1      -1.35115565E+0      -3.58354300E-5      3.87430191E-7
2.58000000E+8      1.07374182E+9      0.00000000E+0      -7.32954834E-1      -4.03238881E+0      -1.24610960E-6      -1.64574012E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -4.53958116E-1      3.56348500E+0      -3.69343907E-5      3.47848982E-6
2.72500000E+8      1.07374182E+9      0.00000000E+0      4.02252295E-1      1.25919957E+0      -1.88723207E-5      -6.38747588E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      4.87539880E-1      7.05451472E-1      -3.45008448E-5      2.70055607E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      5.08790327E-1      4.36692855E-1      -1.68252736E-5      7.60983676E-6
2.94250000E+8      1.07374182E+9      0.00000000E+0      5.18040721E-1      2.65747115E-1      -7.01099634E-6      3.40873376E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      5.22660621E-1      1.33876180E-1      3.04095447E-5      4.28967178E-6
3.08750000E+8      1.07374182E+9      0.00000000E+0      5.25088465E-1      1.84355671E-2      -1.08210370E-5      5.67547977E-6
3.16000000E+8      1.07374182E+9      0.00000000E+0      5.25769114E-1      -9.51021317E-2      -4.23435122E-5      1.20727345E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      5.24684315E-1      -2.21527760E-1      -2.32271850E-6      -9.85059887E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      5.20429840E-1      -3.81553165E-1      1.79819763E-5      1.61593780E-5
3.37750000E+8      1.07374182E+9      0.00000000E+0      5.04733546E-1      -6.21250609E-1      1.32964924E-5      -3.90876085E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      4.37273151E-1      -1.09906382E+0      -1.01691112E-5      2.75038183E-5
3.52250000E+8      1.07374182E+9      0.00000000E+0      -2.97703168E-1      -2.72421559E+0      -5.63543290E-6      1.34669244E-5
3.59500000E+8      1.07374182E+9      0.00000000E+0      -1.97315504E+0      3.30192080E+0      1.28205866E-5      -3.82447615E-5
3.66750000E+8      1.07374182E+9      0.00000000E+0      1.66785203E-1      1.22999018E+0      -4.29172069E-5      6.37862831E-6
3.74000000E+8      1.07374182E+9      0.00000000E+0      3.57148045E-1      6.66109590E-1      7.62846321E-6      2.85357237E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      4.11546335E-1      3.96284650E-1      4.01996076E-5      -5.21168113E-6
3.88500000E+8      1.07374182E+9      0.00000000E+0      4.31379613E-1      2.24446042E-1      -3.13632190E-5      -4.60445881E-6
3.95750000E+8      1.07374182E+9      0.00000000E+0      4.38557043E-1      9.17018655E-2      1.43814832E-5      1.55325979E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      4.36240585E-1      -2.70974109E-2      -8.24779272E-6      -1.33924186E-6
4.10250000E+8      1.07374182E+9      0.00000000E+0      4.25172909E-1      -1.46308615E-1      1.72927976E-5      -2.07126141E-6
4.17500000E+8      1.07374182E+9      0.00000000E+0      4.01178030E-1      -2.80308018E-1      2.89771706E-5      9.25920904E-6
4.24750000E+8      1.07374182E+9      0.00000000E+0      3.50117935E-1      -4.52489485E-1      1.92262232E-5      -7.09854066E-6
4.32000000E+8      1.07374182E+9      0.00000000E+0      2.29720825E-1      -7.06998733E-1      5.31505793E-6      -4.19812277E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -1.41826137E-1      -1.13398675E+0      -2.59634107E-5      -1.58287585E-5
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.84420712E+0      -1.30145200E+0      2.86754221E-6      -1.74185261E-5
