! NanoVNA-App
! Date: 2024-06-25 16:33:50
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      4.80259834E-1      1.20731361E-1      2.00662762E-5      -2.02776864E-5
2.07250000E+8      1.07374182E+9      0.00000000E+0      4.83964023E-1      2.43319229E-2      -2.22101808E-5      -2.50879675E-5
2.14500000E+8      1.07374182E+9      0.00000000E+0      4.82065161E-1      -7.12171651E-2      -3.25329602E-5      1.53174624E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      4.73671262E-1      -1.74179048E-1      -3.42074782E-6      4.58322465E-5
2.29000000E+8      1.07374182E+9      0.00000000E+0      4.57244142E-1      -2.96015963E-1      1.99172646E-5      5.99399209E-6
2.36250000E+8      1.07374182E+9      0.00000000E+0      4.20461521E-1      -4.57166099E-1      3.61977145E-5      -3.31280753E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      3.34845366E-1      -6.98934362E-1      5.48642129E-6      1.87512487E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      5.46427190E-2      -1.13814777E+0      1.72015280E-5      1.95205212E-6
2.58000000E+8      1.07374182E+9      0.00000000E+0      -1.46248856E+0      -1.70564107E+0      6.45406544E-7      -2.14194879E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -1.57992298E+0      1.65196846E+0      -5.65871596E-6      -1.07875094E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      2.87156943E-2      1.13025047E+0      1.48778781E-5      -2.62018293E-5
2.79750000E+8      1.07374182E+9      0.00000000E+0      3.23166979E-1      6.84456391E-1      -4.52436507E-6      -1.85035169E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      4.12910399E-1      4.33617391E-1      2.54930928E-5      -1.10547990E-6
2.94250000E+8      1.07374182E+9      0.00000000E+0      4.49269788E-1      2.66558011E-1      1.03404745E-5      6.25383109E-6
3.01500000E+8      1.07374182E+9      0.00000000E+0      4.65395282E-1      1.36846778E-1      1.21537596E-5      1.89524144E-6
3.08750000E+8      1.07374182E+9      0.00000000E+0      4.72307483E-1      2.26098497E-2      2.15433538E-5      5.33005223E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      4.71419052E-1      -8.96917479E-2      -1.20885670E-5      1.27004460E-5
3.23250000E+8      1.07374182E+9      0.00000000E+0      4.62266311E-1      -2.12834021E-1      -1.51572749E-5      3.10968608E-6
3.30500000E+8      1.07374182E+9      0.00000000E+0      4.38377655E-1      -3.64948110E-1      -1.01123005E-5      8.57375562E-6
3.37750000E+8      1.07374182E+9      0.00000000E+0      3.76354432E-1      -5.81880736E-1      1.16005540E-5      1.38254836E-5
3.45000000E+8      1.07374182E+9      0.00000000E+0      1.74351370E-1      -9.48747954E-1      3.08854505E-5      -4.88944352E-7
3.52250000E+8      1.07374182E+9      0.00000000E+0      -8.07995165E-1      -1.49575347E+0      -3.20356339E-5      -1.80304050E-6
3.59500000E+8      1.07374182E+9      0.00000000E+0      -1.86011223E+0      8.85582068E-1      -7.20936805E-6      -2.16253102E-6
3.66750000E+8      1.07374182E+9      0.00000000E+0      -1.88389659E-1      1.01758375E+0      1.94599852E-5      2.28090212E-5
3.74000000E+8      1.07374182E+9      0.00000000E+0      1.97033291E-1      6.25307801E-1      -1.43749639E-5      1.01095065E-5
3.81250000E+8      1.07374182E+9      0.00000000E+0      3.15907210E-1      3.87613130E-1      1.07167289E-5      2.84295529E-5
3.88500000E+8      1.07374182E+9      0.00000000E+0      3.62246556E-1      2.25171964E-1      -1.35526061E-5      3.20784748E-5
3.95750000E+8      1.07374182E+9      0.00000000E+0      3.80023413E-1      9.70957457E-2      -1.45845115E-6      1.36792660E-5
4.03000000E+8      1.07374182E+9      0.00000000E+0      3.81714101E-1      -1.72912121E-2      -3.57562676E-5      1.61360949E-5
4.10250000E+8      1.07374182E+9      0.00000000E+0      3.68539598E-1      -1.31225611E-1      5.26290387E-6      -4.10489738E-5
4.17500000E+8      1.07374182E+9      0.00000000E+0      3.36099355E-1      -2.55805472E-1      -3.26372683E-5      4.27104533E-5
4.24750000E+8      1.07374182E+9      0.00000000E+0      2.69065548E-1      -4.06023296E-1      1.00834295E-5      2.06753612E-5
4.32000000E+8      1.07374182E+9      0.00000000E+0      1.19688687E-1      -6.00114058E-1      1.88481063E-5      1.83498487E-5
4.39250000E+8      1.07374182E+9      0.00000000E+0      -2.59128950E-1      -8.27960072E-1      2.31824815E-5      3.80724669E-6
4.46500000E+8      1.07374182E+9      0.00000000E+0      -1.18475649E+0      -6.12836173E-1      1.78832561E-5      -1.70720741E-5
4.53750000E+8      1.07374182E+9      0.00000000E+0      -1.10150721E+0      8.58964275E-1      8.76747072E-6      2.17230991E-5
4.61000000E+8      1.07374182E+9      0.00000000E+0      -1.30861482E-1      9.60222561E-1      2.16495246E-5      -1.26697123E-5
4.68250000E+8      1.07374182E+9      0.00000000E+0      2.29773296E-1      6.85395556E-1      -1.83973461E-5      1.88918784E-5
4.75500000E+8      1.07374182E+9      0.00000000E+0      3.64738881E-1      4.70665495E-1      1.79847702E-5      1.37183815E-5
4.82750000E+8      1.07374182E+9      0.00000000E+0      4.25313570E-1      3.17840893E-1      7.92555511E-6      -1.62012875E-5
4.90000000E+8      1.07374182E+9      0.00000000E+0      4.56321343E-1      1.95852201E-1      -4.03821468E-6      -6.61518425E-6
4.97250000E+8      1.07374182E+9      0.00000000E+0      4.74728943E-1      9.11658879E-2      -1.24117360E-5      9.48272645E-6
5.04500000E+8      1.07374182E+9      0.00000000E+0      4.85069919E-1      -6.69982417E-3      1.71158463E-5      -2.61273235E-5
5.11750000E+8      1.07374182E+9      0.00000000E+0      4.91788157E-1      -1.06600122E-1      1.71205029E-5      1.85333192E-7
5.19000000E+8      1.07374182E+9      0.00000000E+0      4.97090223E-1      -2.18025653E-1      5.30732796E-5      9.33744013E-6
5.26250000E+8      1.07374182E+9      0.00000000E+0      4.99613630E-1      -3.55923545E-1      -1.50408596E-6      -1.76802278E-5
5.33500000E+8      1.07374182E+9      0.00000000E+0      5.02221932E-1      -5.49416011E-1      -2.77962536E-5      2.99848616E-5
5.40750000E+8      1.07374182E+9      0.00000000E+0      5.12497872E-1      -8.80831948E-1      -1.48117542E-5      1.98334455E-5
5.48000000E+8      1.07374182E+9      0.00000000E+0      5.85585113E-1      -1.67627828E+0      7.52508640E-7      -1.12522393E-5
5.55250000E+8      1.07374182E+9      0.00000000E+0      3.55901015E+0      -7.16018943E+0      -2.03298405E-5      -3.47243622E-5
5.62500000E+8      1.07374182E+9      0.00000000E+0      1.19104075E+0      2.72530398E+0      -1.01029873E-5      -2.94661149E-5
5.69750000E+8      1.07374182E+9      0.00000000E+0      7.08858370E-1      1.16496452E+0      -2.11149454E-5      -7.31088221E-6
5.77000000E+8      1.07374182E+9      0.00000000E+0      6.26134033E-1      6.93874381E-1      -3.34456563E-5      -2.90088356E-5
5.84250000E+8      1.07374182E+9      0.00000000E+0      5.95764629E-1      4.50164922E-1      6.47641718E-6      5.05829230E-5
5.91500000E+8      1.07374182E+9      0.00000000E+0      5.81007276E-1      2.92221955E-1      3.76347452E-6      4.52715904E-6
5.98750000E+8      1.07374182E+9      0.00000000E+0      5.72019021E-1      1.70630902E-1      -7.79144466E-6      -2.97939405E-5
6.06000000E+8      1.07374182E+9      0.00000000E+0      5.65939315E-1      6.81976187E-2      9.15583223E-6      -2.91727483E-5
6.13250000E+8      1.07374182E+9      0.00000000E+0      5.61197063E-1      -2.87318994E-2      -3.18223611E-5      -2.54418701E-5
6.20500000E+8      1.07374182E+9      0.00000000E+0      5.56530131E-1      -1.29188078E-1      1.73738226E-5      5.46965748E-6
6.27750000E+8      1.07374182E+9      0.00000000E+0      5.50418766E-1      -2.43408159E-1      1.48853287E-5      -3.46954912E-5
6.35000000E+8      1.07374182E+9      0.00000000E+0      5.39629122E-1      -3.86174395E-1      2.17556953E-5      -2.22297385E-5
6.42250000E+8      1.07374182E+9      0.00000000E+0      5.12016461E-1      -5.95595368E-1      -1.14645809E-5      1.07856467E-5
6.49500000E+8      1.07374182E+9      0.00000000E+0      4.19996872E-1      -9.63508920E-1      -6.89923763E-6      1.42063946E-5
6.56750000E+8      1.07374182E+9      0.00000000E+0      -1.08438017E-1      -1.81541936E+0      3.45092267E-5      -5.12525439E-5
6.64000000E+8      1.07374182E+9      0.00000000E+0      -3.75789973E+0      -3.63281454E-3      2.84556299E-5      -4.19095159E-7
6.71250000E+8      1.07374182E+9      0.00000000E+0      -4.06033451E-1      1.43321822E+0      -1.87857077E-5      -1.82883814E-5
6.78500000E+8      1.07374182E+9      0.00000000E+0      1.69882863E-1      8.06700849E-1      6.61704689E-6      -1.88918784E-5
6.85750000E+8      1.07374182E+9      0.00000000E+0      3.15039047E-1      5.01874781E-1      3.08062881E-5      -2.28937715E-5
6.93000000E+8      1.07374182E+9      0.00000000E+0      3.69979225E-1      3.13823890E-1      3.13101336E-5      -5.75277954E-6
7.00250000E+8      1.07374182E+9      0.00000000E+0      3.91723249E-1      1.76787720E-1      3.35136428E-5      -1.83945522E-5
7.07500000E+8      1.07374182E+9      0.00000000E+0      3.97047309E-1      6.40537834E-2      3.18819657E-5      -1.82390213E-5
7.14750000E+8      1.07374182E+9      0.00000000E+0      3.89410162E-1      -3.89867157E-2      -1.19572505E-5      -7.16093928E-6
7.22000000E+8      1.07374182E+9      0.00000000E+0      3.66763637E-1      -1.41047810E-1      3.65693122E-5      2.83000991E-5
7.29250000E+8      1.07374182E+9      0.00000000E+0      3.21860099E-1      -2.48370695E-1      1.13341957E-6      4.24273312E-5
7.36500000E+8      1.07374182E+9      0.00000000E+0      2.37203949E-1      -3.65349200E-1      -1.84774399E-5      -1.13975257E-5
7.43750000E+8      1.07374182E+9      0.00000000E+0      7.75746099E-2      -4.79425437E-1      -4.21609730E-6      -5.18839806E-6
7.51000000E+8      1.07374182E+9      0.00000000E+0      -2.12942273E-1      -5.13716753E-1      -1.40815973E-5      -1.49179250E-5
7.58250000E+8      1.07374182E+9      0.00000000E+0      -5.51889502E-1      -2.60062228E-1      -4.04827297E-5      -2.30241567E-5
7.65500000E+8      1.07374182E+9      0.00000000E+0      -5.22754034E-1      2.17567762E-1      -3.57367098E-5      -4.65866178E-5
7.72750000E+8      1.07374182E+9      0.00000000E+0      -2.02284716E-1      4.19506713E-1      -2.63629481E-5      1.87307596E-5
7.80000000E+8      1.07374182E+9      0.00000000E+0      4.38649725E-2      3.88835025E-1      -1.17439777E-6      -5.65443188E-5
7.87250000E+8      1.07374182E+9      0.00000000E+0      1.89171948E-1      2.95384558E-1      -1.45547092E-5      1.61882490E-5
7.94500000E+8      1.07374182E+9      0.00000000E+0      2.68445209E-1      1.96981837E-1      -1.14236027E-5      -8.64360482E-6
8.01750000E+8      1.07374182E+9      0.00000000E+0      3.14525511E-1      1.02631226E-1      4.12706286E-5      1.08368695E-5
8.09000000E+8      1.07374182E+9      0.00000000E+0      3.39274582E-1      1.11019983E-2      1.35926530E-5      -6.45592809E-6
8.16250000E+8      1.07374182E+9      0.00000000E+0      3.49695557E-1      -8.15719868E-2      2.49054283E-5      3.26102600E-5
8.23500000E+8      1.07374182E+9      0.00000000E+0      3.46923342E-1      -1.84101839E-1      -7.30995089E-6      -9.46968794E-6
8.30750000E+8      1.07374182E+9      0.00000000E+0      3.28472313E-1      -3.03428658E-1      -7.13020563E-6      -4.21516597E-5
8.38000000E+8      1.07374182E+9      0.00000000E+0      2.82237317E-1      -4.60108257E-1      -1.40462071E-5      7.51856714E-6
8.45250000E+8      1.07374182E+9      0.00000000E+0      1.66381576E-1      -6.92880099E-1      2.96207145E-5      2.72085890E-5
8.52500000E+8      1.07374182E+9      0.00000000E+0      -1.84252719E-1      -1.08528011E+0      -7.63963908E-6      1.18082389E-5
8.59750000E+8      1.07374182E+9      0.00000000E+0      -1.74624988E+0      -1.31583474E+0      -1.27516687E-5      -8.38190317E-6
8.67000000E+8      1.07374182E+9      0.00000000E+0      -1.28245189E+0      1.77693551E+0      3.56053934E-5      4.69405204E-5
8.74250000E+8      1.07374182E+9      0.00000000E+0      1.31444344E-1      1.15043008E+0      -7.20750540E-6      -2.74553895E-6
8.81500000E+8      1.07374182E+9      0.00000000E+0      3.85989706E-1      6.77925864E-1      1.81365758E-5      7.67223537E-6
8.88750000E+8      1.07374182E+9      0.00000000E+0      4.55624803E-1      4.25157813E-1      2.69785523E-5      2.16504559E-5
8.96000000E+8      1.07374182E+9      0.00000000E+0      4.82600386E-1      2.51701129E-1      -7.89295882E-6      2.56812200E-5
9.03250000E+8      1.07374182E+9      0.00000000E+0      4.94230536E-1      1.15870198E-1      4.64702025E-5      -2.87750736E-5
9.10500000E+8      1.07374182E+9      0.00000000E+0      4.98052376E-1      -7.67377616E-3      4.79202718E-5      -3.30954790E-5
9.17750000E+8      1.07374182E+9      0.00000000E+0      4.97044634E-1      -1.29475798E-1      1.31325796E-5      -2.59876251E-5
