! NanoVNA-App
! Date: 2024-06-25 16:33:40
! Start: 200.00MHz  Stop: 6.00GHz  Points: 801
! S-Parameter data: F S11
# Hz S RI R 50
Frequency           S1_Real           S1_Imag           S11_Real           S11_Imag           S21_Real           S21_Imag
2.00000000E+8      1.07374182E+9      0.00000000E+0      4.80642965E-1      1.20765497E-1      -1.02389604E-5      -6.00330532E-6
2.07250000E+8      1.07374182E+9      0.00000000E+0      4.84070308E-1      2.43023440E-2      1.57300383E-6      8.06152821E-6
2.14500000E+8      1.07374182E+9      0.00000000E+0      4.81990672E-1      -7.10600073E-2      1.79689378E-5      -2.85869464E-5
2.21750000E+8      1.07374182E+9      0.00000000E+0      4.73799886E-1      -1.74066963E-1      1.17393211E-5      3.21492553E-6
2.29000000E+8      1.07374182E+9      0.00000000E+0      4.57582783E-1      -2.95920426E-1      1.28606334E-5      -6.61248341E-5
2.36250000E+8      1.07374182E+9      0.00000000E+0      4.21473942E-1      -4.57420957E-1      3.04775313E-5      -4.55444679E-5
2.43500000E+8      1.07374182E+9      0.00000000E+0      3.35093333E-1      -6.99033567E-1      -9.59075987E-6      -1.25719234E-5
2.50750000E+8      1.07374182E+9      0.00000000E+0      5.42649400E-2      -1.13657729E+0      3.02400440E-6      -1.34268776E-5
2.58000000E+8      1.07374182E+9      0.00000000E+0      -1.45977137E+0      -1.70451127E+0      -1.00145116E-5      1.38320029E-5
2.65250000E+8      1.07374182E+9      0.00000000E+0      -1.58568185E+0      1.65726817E+0      -4.94765118E-5      -2.14977190E-5
2.72500000E+8      1.07374182E+9      0.00000000E+0      2.99065576E-2      1.12861372E+0      2.24448740E-6      7.48317689E-6
2.79750000E+8      1.07374182E+9      0.00000000E+0      3.24263671E-1      6.84446443E-1      1.51805580E-7      1.51405111E-5
2.87000000E+8      1.07374182E+9      0.00000000E+0      4.13207110E-1      4.32979373E-1      -8.30646604E-6      -2.50469893E-5
2.94250000E+8      1.07374182E+9      0.00000000E+0      4.49314081E-1      2.66340884E-1      3.08733433E-5      -3.21818516E-5
3.01500000E+8      1.07374182E+9      0.00000000E+0      4.65532074E-1      1.36760553E-1      5.67082316E-6      -3.64119187E-5
3.08750000E+8      1.07374182E+9      0.00000000E+0      4.72430380E-1      2.25062228E-2      -1.08266249E-5      -1.53891742E-5
3.16000000E+8      1.07374182E+9      0.00000000E+0      4.71622347E-1      -8.95770755E-2      1.10343099E-5      -1.73877925E-6
3.23250000E+8      1.07374182E+9      0.00000000E+0      4.62431551E-1      -2.12838412E-1      -1.97570771E-5      4.74173576E-5
