! R140 Conversion
! Date: 2024-08-14 14:49:42
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      7.91408800E+1      4.94979800E+1      5.50727800E-1      6.25441800E-1      8.76474400E-1      -1.65254000E-1
2.05000000E+8      7.91214400E+1      4.83342800E+1      5.51224200E-1      6.10887200E-1      8.75625600E-1      -1.69195600E-1
2.10000000E+8      7.91019800E+1      4.72258400E+1      5.51719800E-1      5.97025000E-1      8.74796200E-1      -1.73235600E-1
2.15000000E+8      7.90825200E+1      4.61721800E+1      5.52253200E-1      5.83848200E-1      8.74010600E-1      -1.77267200E-1
2.20000000E+8      7.90632000E+1      4.51692800E+1      5.52822000E-1      5.71306200E-1      8.73156400E-1      -1.81212800E-1
2.25000000E+8      7.90462800E+1      4.42127000E+1      5.53412400E-1      5.59326600E-1      8.72174800E-1      -1.85266000E-1
2.30000000E+8      7.90329800E+1      4.33000800E+1      5.54033400E-1      5.47873600E-1      8.71270400E-1      -1.89135600E-1
2.35000000E+8      7.90253200E+1      4.24286000E+1      5.54684400E-1      5.36898600E-1      8.70232000E-1      -1.93107600E-1
2.40000000E+8      7.90190400E+1      4.15982800E+1      5.55400000E-1      5.26433800E-1      8.69284000E-1      -1.97217200E-1
2.45000000E+8      7.90124800E+1      4.08059400E+1      5.56171800E-1      5.16449800E-1      8.68347000E-1      -2.01250800E-1
2.50000000E+8      7.90046200E+1      4.00439600E+1      5.56924600E-1      5.06856000E-1      8.67246400E-1      -2.05151600E-1
2.55000000E+8      7.89995400E+1      3.93171200E+1      5.57752200E-1      4.97688200E-1      8.66237000E-1      -2.09152600E-1
2.60000000E+8      7.89935000E+1      3.86190800E+1      5.58591800E-1      4.88889600E-1      8.65122600E-1      -2.13047600E-1
2.65000000E+8      7.89906800E+1      3.79464600E+1      5.59418200E-1      4.80392000E-1      8.63983000E-1      -2.16907400E-1
2.70000000E+8      7.89868600E+1      3.73023000E+1      5.60297800E-1      4.72260000E-1      8.63028400E-1      -2.20846000E-1
2.75000000E+8      7.89821200E+1      3.66808600E+1      5.61166200E-1      4.64420200E-1      8.61892600E-1      -2.24825400E-1
2.80000000E+8      7.89791400E+1      3.60810800E+1      5.62026800E-1      4.56843200E-1      8.60708000E-1      -2.28691600E-1
2.85000000E+8      7.89753800E+1      3.55033200E+1      5.62903200E-1      4.49549600E-1      8.59479400E-1      -2.32661200E-1
2.90000000E+8      7.89670400E+1      3.49445400E+1      5.63763400E-1      4.42520800E-1      8.58376200E-1      -2.36627000E-1
2.95000000E+8      7.89598400E+1      3.44066000E+1      5.64654800E-1      4.35748000E-1      8.57174800E-1      -2.40448600E-1
3.00000000E+8      7.89867200E+1      3.38889400E+1      5.65586200E-1      4.29046200E-1      8.55935400E-1      -2.44425200E-1
3.50000000E+8      7.89400400E+1      2.95370000E+1      5.75114200E-1      3.74170200E-1      8.42954800E-1      -2.83052000E-1
4.00000000E+8      7.88875400E+1      2.62918000E+1      5.85059600E-1      3.33282600E-1      8.28745400E-1      -3.20209000E-1
4.50000000E+8      7.88330400E+1      2.37802000E+1      5.95316600E-1      3.01653000E-1      8.12785200E-1      -3.56589200E-1
5.00000000E+8      7.87845600E+1      2.17937200E+1      6.06207600E-1      2.76624600E-1      7.95111000E-1      -3.91959800E-1
5.50000000E+8      7.87342200E+1      2.01983600E+1      6.18014400E-1      2.56539000E-1      7.76054000E-1      -4.25692400E-1
6.00000000E+8      7.86920400E+1      1.88908600E+1      6.30555000E-1      2.40061000E-1      7.55200800E-1      -4.58863200E-1
6.50000000E+8      7.86578000E+1      1.78296600E+1      6.44727400E-1      2.26674000E-1      7.33510800E-1      -4.90299800E-1
7.00000000E+8      7.86248800E+1      1.69625400E+1      6.60554200E-1      2.15740000E-1      7.10753800E-1      -5.20190600E-1
7.50000000E+8      7.85966400E+1      1.62462000E+1      6.77847800E-1      2.06703600E-1      6.87024800E-1      -5.48648000E-1
8.00000000E+8      7.85688800E+1      1.56497800E+1      6.96494600E-1      1.99185400E-1      6.62685800E-1      -5.75834600E-1
8.50000000E+8      7.85349200E+1      1.51422800E+1      7.16028000E-1      1.92809800E-1      6.37314400E-1      -6.01139600E-1
9.00000000E+8      7.85057000E+1      1.47087600E+1      7.36441600E-1      1.87359400E-1      6.11221600E-1      -6.25563000E-1
9.50000000E+8      7.84738400E+1      1.43363400E+1      7.57673600E-1      1.82689800E-1      5.84555000E-1      -6.47944000E-1
1.00000000E+9      7.84431200E+1      1.40185400E+1      7.79870200E-1      1.78709600E-1      5.57640800E-1      -6.69248400E-1
1.05000000E+9      7.84207000E+1      1.37536200E+1      8.03388200E-1      1.75382200E-1      5.30105000E-1      -6.88897800E-1
1.10000000E+9      7.83928600E+1      1.35292400E+1      8.27914800E-1      1.72582800E-1      5.01811600E-1      -7.07698400E-1
1.15000000E+9      7.83571000E+1      1.33389000E+1      8.53369800E-1      1.70232200E-1      4.73823200E-1      -7.23535800E-1
1.20000000E+9      7.83253600E+1      1.31824400E+1      8.80027600E-1      1.68303800E-1      4.46532600E-1      -7.38804000E-1
1.25000000E+9      7.82952000E+1      1.30528200E+1      9.07682000E-1      1.66712800E-1      4.18586000E-1      -7.52843400E-1
