! R140 Conversion
! Date: 2024-08-14 14:49:45
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      7.91709400E+1      4.95106600E+1      5.50868800E-1      6.25364600E-1      8.76437800E-1      -1.65310400E-1
2.05000000E+8      7.91011400E+1      4.83679400E+1      5.51608400E-1      6.11469400E-1      8.75590800E-1      -1.69209400E-1
2.10000000E+8      7.91252600E+1      4.72540600E+1      5.52049400E-1      5.97206000E-1      8.74746800E-1      -1.73305800E-1
2.15000000E+8      7.90971400E+1      4.61677800E+1      5.52200200E-1      5.83684600E-1      8.73959000E-1      -1.77295400E-1
2.20000000E+8      7.90914200E+1      4.51668400E+1      5.52791800E-1      5.71071400E-1      8.73065800E-1      -1.81311400E-1
2.25000000E+8      7.90768400E+1      4.42117800E+1      5.53400600E-1      5.59099200E-1      8.72156400E-1      -1.85300000E-1
2.30000000E+8      7.89972000E+1      4.33137600E+1      5.54208400E-1      5.48295000E-1      8.71226000E-1      -1.89123000E-1
2.35000000E+8      7.90193400E+1      4.24858000E+1      5.55432000E-1      5.37663200E-1      8.70156600E-1      -1.93157000E-1
2.40000000E+8      7.90646200E+1      4.16063200E+1      5.55507600E-1      5.26232000E-1      8.69265600E-1      -1.97286000E-1
2.45000000E+8      7.90503800E+1      4.08076600E+1      5.56195400E-1      5.16223200E-1      8.68276800E-1      -2.01243200E-1
2.50000000E+8      7.90510200E+1      4.00924000E+1      5.57598200E-1      5.07171200E-1      8.67135200E-1      -2.05200800E-1
2.55000000E+8      7.90213400E+1      3.93224800E+1      5.57828600E-1      4.97618600E-1      8.66202000E-1      -2.09122400E-1
2.60000000E+8      7.90226200E+1      3.86510600E+1      5.59054400E-1      4.89113800E-1      8.65056200E-1      -2.13074200E-1
2.65000000E+8      7.89933000E+1      3.79826600E+1      5.59952000E-1      4.80834000E-1      8.63972600E-1      -2.16951600E-1
2.70000000E+8      7.89813800E+1      3.72824400E+1      5.59999200E-1      4.72041000E-1      8.63015400E-1      -2.20902200E-1
2.75000000E+8      7.90070800E+1      3.66665600E+1      5.60947600E-1      4.64092200E-1      8.61855400E-1      -2.24909200E-1
2.80000000E+8      7.89631000E+1      3.61068200E+1      5.62427800E-1      4.57262400E-1      8.60631800E-1      -2.28693200E-1
2.85000000E+8      7.89949400E+1      3.55332800E+1      5.63377800E-1      4.49817400E-1      8.59434800E-1      -2.32702800E-1
2.90000000E+8      7.90184600E+1      3.49558200E+1      5.63945400E-1      4.42375600E-1      8.58294800E-1      -2.36701200E-1
2.95000000E+8      7.89831400E+1      3.44249200E+1      5.64955400E-1      4.35851600E-1      8.57103600E-1      -2.40502200E-1
3.00000000E+8      7.89809200E+1      3.38931200E+1      5.65656000E-1      4.29130600E-1      8.55927600E-1      -2.44404800E-1
3.50000000E+8      7.89966800E+1      2.94958600E+1      5.74313000E-1      3.73381200E-1      8.42947000E-1      -2.83031600E-1
4.00000000E+8      7.88492800E+1      2.61661200E+1      5.82262200E-1      3.31850000E-1      8.28757800E-1      -3.20227000E-1
4.50000000E+8      7.87792800E+1      2.36491800E+1      5.92035400E-1      3.00195200E-1      8.12756000E-1      -3.56567600E-1
5.00000000E+8      7.87573000E+1      2.16794600E+1      6.03028200E-1      2.75269200E-1      7.95129400E-1      -3.91948800E-1
5.50000000E+8      7.86703200E+1      2.01514600E+1      6.16579200E-1      2.56150600E-1      7.75995000E-1      -4.25687600E-1
6.00000000E+8      7.87464800E+1      1.89032200E+1      6.30966200E-1      2.40051400E-1      7.55169800E-1      -4.58934200E-1
6.50000000E+8      7.87016200E+1      1.78614800E+1      6.45877400E-1      2.26951800E-1      7.33492000E-1      -4.90295200E-1
7.00000000E+8      7.86609800E+1      1.70078000E+1      6.62316600E-1      2.16216200E-1      7.10723000E-1      -5.20198200E-1
7.50000000E+8      7.86046200E+1      1.62832600E+1      6.79395000E-1      2.07154400E-1      6.87025800E-1      -5.48631200E-1
8.00000000E+8      7.85650200E+1      1.56355000E+1      6.95859000E-1      1.99013600E-1      6.62699400E-1      -5.75831000E-1
8.50000000E+8      7.84982400E+1      1.51508000E+1      7.16430800E-1      1.93008400E-1      6.37271600E-1      -6.01096800E-1
9.00000000E+8      7.85076600E+1      1.46915800E+1      7.35581400E-1      1.87135600E-1      6.11204400E-1      -6.25548400E-1
9.50000000E+8      7.84532400E+1      1.43478400E+1      7.58281400E-1      1.82884400E-1      5.84539000E-1      -6.47878600E-1
1.00000000E+9      7.84269400E+1      1.40056800E+1      7.79154000E-1      1.78582400E-1      5.57684600E-1      -6.69189800E-1
1.05000000E+9      7.84105400E+1      1.37407000E+1      8.02634000E-1      1.75240600E-1      5.30134800E-1      -6.88920000E-1
1.10000000E+9      7.84820800E+1      1.35112800E+1      8.26816200E-1      1.72157600E-1      5.01834400E-1      -7.07731800E-1
1.15000000E+9      7.83939600E+1      1.34026800E+1      8.57451200E-1      1.70966000E-1      4.73826600E-1      -7.23578200E-1
1.20000000E+9      7.83084800E+1      1.32158000E+1      8.82255000E-1      1.68766000E-1      4.46478400E-1      -7.38852400E-1
1.25000000E+9      7.82918800E+1      1.31020000E+1      9.11104000E-1      1.67348600E-1      4.18456800E-1      -7.52819200E-1
1.30000000E+9      7.81925200E+1      1.29783000E+1      9.38600400E-1      1.65979200E-1      3.91194400E-1      -7.65297600E-1
1.35000000E+9      7.81756600E+1      1.27925200E+1      9.60746600E-1      1.63638000E-1      3.63900200E-1      -7.77697600E-1
1.40000000E+9      7.82369600E+1      1.27259600E+1      9.91146600E-1      1.62659400E-1      3.35396200E-1      -7.88360200E-1
1.45000000E+9      7.82001800E+1      1.27211400E+1      1.02615800E+0      1.62674000E-1      3.07895000E-1      -7.96979800E-1
1.50000000E+9      7.82022400E+1      1.27389400E+1      1.06302800E+0      1.62897600E-1      2.80409600E-1      -8.04590800E-1
1.55000000E+9      7.81281000E+1      1.27722600E+1      1.10133400E+0      1.63478600E-1      2.53830400E-1      -8.10704800E-1
1.60000000E+9      7.80533800E+1      1.27637800E+1      1.13610800E+0      1.63526400E-1      2.27984600E-1      -8.16370600E-1
1.65000000E+9      7.80209800E+1      1.27660600E+1      1.17182000E+0      1.63623400E-1      2.02030800E-1      -8.21197200E-1
1.70000000E+9      7.79524400E+1      1.27619000E+1      1.20693000E+0      1.63713600E-1      1.77036400E-1      -8.25204800E-1
1.75000000E+9      7.79357600E+1      1.27658800E+1      1.24282000E+0      1.63800000E-1      1.51819200E-1      -8.28454400E-1
1.80000000E+9      7.79390600E+1      1.28356800E+1      1.28531800E+0      1.64688800E-1      1.26795400E-1      -8.30399000E-1
1.85000000E+9      7.78648600E+1      1.28909200E+1      1.32670400E+0      1.65554800E-1      1.03246200E-1      -8.31640400E-1
1.90000000E+9      7.78128600E+1      1.29399600E+1      1.36774600E+0      1.66295800E-1      7.98352600E-2      -8.32237000E-1
1.95000000E+9      7.77488200E+1      1.30251600E+1      1.41298200E+0      1.67528600E-1      5.71083000E-2      -8.31890600E-1
2.00000000E+9      7.76769200E+1      1.30842600E+1      1.45578800E+0      1.68444400E-1      3.51591200E-2      -8.31322000E-1
2.05000000E+9      7.76552600E+1      1.31499200E+1      1.49967000E+0      1.69337000E-1      1.29568200E-2      -8.30027600E-1
2.10000000E+9      7.76304000E+1      1.32374200E+1      1.54647000E+0      1.70518400E-1      -8.60640200E-3      -8.28068400E-1
2.15000000E+9      7.75670000E+1      1.33451000E+1      1.59617200E+0      1.72046200E-1      -2.91430200E-2      -8.25456200E-1
2.20000000E+9      7.74957000E+1      1.34068200E+1      1.64084600E+0      1.73000800E-1      -4.89171000E-2      -8.22999600E-1
2.25000000E+9      7.74508000E+1      1.34896800E+1      1.68851000E+0      1.74171000E-1      -6.84031000E-2      -8.20035800E-1
2.30000000E+9      7.73864000E+1      1.35749800E+1      1.73695000E+0      1.75418200E-1      -8.74146400E-2      -8.16345000E-1
2.35000000E+9      7.73351800E+1      1.36860600E+1      1.78922600E+0      1.76970800E-1      -1.05978800E-1      -8.12145600E-1
2.40000000E+9      7.73051600E+1      1.37998000E+1      1.84248200E+0      1.78510400E-1      -1.24180200E-1      -8.07708600E-1
2.45000000E+9      7.72675600E+1      1.39231600E+1      1.89768200E+0      1.80193800E-1      -1.41724400E-1      -8.02970400E-1
2.50000000E+9      7.72294800E+1      1.40351000E+1      1.95197800E+0      1.81732400E-1      -1.58704800E-1      -7.98183200E-1
2.55000000E+9      7.71811200E+1      1.41582400E+1      2.00848400E+0      1.83441400E-1      -1.75281200E-1      -7.92706400E-1
2.60000000E+9      7.71305200E+1      1.42888200E+1      2.06675400E+0      1.85254800E-1      -1.91282400E-1      -7.87039800E-1
2.65000000E+9      7.70929800E+1      1.44223600E+1      2.12619000E+0      1.87077400E-1      -2.06889800E-1      -7.81240400E-1
2.70000000E+9      7.69707200E+1      1.45327000E+1      2.18287800E+0      1.88808200E-1      -2.21115600E-1      -7.75667400E-1
2.75000000E+9      7.69094200E+1      1.46824000E+1      2.24620200E+0      1.90905000E-1      -2.35464200E-1      -7.69584000E-1
