! R140 Conversion
! Date: 2024-08-14 14:49:48
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      1.50000000E+2      1.50000000E+3      1.66894000E+1      1.00000000E+1      -9.95318000E-1      -4.60289260E-5
2.05000000E+8      1.49263000E+2      1.50000000E+3      1.71066000E+1      1.00503800E+1      -9.95387200E-1      -9.62678600E-5
2.10000000E+8      1.48562000E+2      1.50000000E+3      1.75239000E+1      1.01007000E+1      -9.95257600E-1      -1.33253480E-4
2.15000000E+8      1.47933200E+2      1.50000000E+3      1.79411000E+1      1.01479800E+1      -9.95316800E-1      9.53360000E-6
2.20000000E+8      1.47412800E+2      1.50000000E+3      1.83583000E+1      1.01887600E+1      -9.95399000E-1      -8.10499640E-5
2.25000000E+8      1.47036800E+2      1.50000000E+3      1.87756000E+1      1.02192000E+1      -9.95349600E-1      -9.27580200E-5
2.30000000E+8      1.46841200E+2      1.50000000E+3      1.91928000E+1      1.02353800E+1      -9.95402600E-1      -4.91060600E-5
2.35000000E+8      1.46862200E+2      1.50000000E+3      1.96100000E+1      1.02336200E+1      -9.95351000E-1      -5.44062620E-5
2.40000000E+8      1.47136000E+2      1.50000000E+3      2.00273000E+1      1.02110800E+1      -9.95336000E-1      -8.01466200E-5
2.45000000E+8      1.47698600E+2      1.50000000E+3      2.04445000E+1      1.01661800E+1      -9.95271800E-1      -6.90949200E-5
2.50000000E+8      1.48586000E+2      1.50000000E+3      2.08617000E+1      1.00989200E+1      -9.95279000E-1      1.79313800E-5
2.55000000E+8      1.49834600E+2      1.50000000E+3      2.12790000E+1      1.00111000E+1      -9.95329600E-1      -1.05622760E-4
2.60000000E+8      1.51480200E+2      1.50000000E+3      2.16962000E+1      9.90596400E+0      -9.95333000E-1      -1.07078438E-4
2.65000000E+8      1.50746000E+2      1.50000000E+3      2.21135000E+1      9.95146800E+0      -9.95301800E-1      -5.29096660E-5
2.70000000E+8      1.50977800E+2      1.50000000E+3      2.25307000E+1      9.93687600E+0      -9.95306600E-1      -1.42888620E-4
2.75000000E+8      1.50977800E+2      1.50000000E+3      2.29479000E+1      9.93687600E+0      -9.95312200E-1      -1.67921400E-4
2.80000000E+8      1.50676800E+2      1.50000000E+3      2.33652000E+1      9.95587000E+0      -9.95298800E-1      -1.62222680E-4
