! R140 Conversion
! Date: 2024-08-14 14:49:52
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      7.96134200E+1      1.08022200E+0      1.20188400E-2      1.35683000E-2      9.80145200E-1      -1.85296800E-1
2.05000000E+8      7.96067800E+1      1.10787400E+0      1.26346400E-2      1.39168000E-2      9.79174400E-1      -1.89711200E-1
2.10000000E+8      7.96006000E+1      1.13508000E+0      1.32606600E-2      1.42597200E-2      9.78051400E-1      -1.94292400E-1
2.15000000E+8      7.95935600E+1      1.16080600E+0      1.38841200E-2      1.45842000E-2      9.77117600E-1      -1.98747600E-1
2.20000000E+8      7.95853400E+1      1.18463400E+0      1.44986200E-2      1.48850600E-2      9.76140800E-1      -2.03255400E-1
2.25000000E+8      7.95792600E+1      1.20663000E+0      1.51034400E-2      1.51626400E-2      9.74970400E-1      -2.07734600E-1
2.30000000E+8      7.95774400E+1      1.22843000E+0      1.57180000E-2      1.54369000E-2      9.73879000E-1      -2.12158200E-1
2.35000000E+8      7.95823600E+1      1.24796400E+0      1.63150800E-2      1.56814200E-2      9.72719400E-1      -2.16756600E-1
2.40000000E+8      7.95887200E+1      1.26841600E+0      1.69353000E-2      1.59371400E-2      9.71602200E-1      -2.21339800E-1
2.45000000E+8      7.95958000E+1      1.28726400E+0      1.75450000E-2      1.61725200E-2      9.70495600E-1      -2.25879800E-1
2.50000000E+8      7.95988400E+1      1.30548200E+0      1.81564200E-2      1.64007600E-2      9.69258000E-1      -2.30311200E-1
2.55000000E+8      7.96024800E+1      1.32381000E+0      1.87795200E-2      1.66302600E-2      9.68104000E-1      -2.34775000E-1
2.60000000E+8      7.96049400E+1      1.33852600E+0      1.93605800E-2      1.68145800E-2      9.66880800E-1      -2.39157000E-1
2.65000000E+8      7.96070000E+1      1.35193400E+0      1.99306400E-2      1.69826000E-2      9.65615600E-1      -2.43546800E-1
2.70000000E+8      7.96096400E+1      1.36791800E+0      2.05468000E-2      1.71828400E-2      9.64389000E-1      -2.47905000E-1
2.75000000E+8      7.96085200E+1      1.38063000E+0      2.11217400E-2      1.73427400E-2      9.63167600E-1      -2.52379600E-1
2.80000000E+8      7.96076200E+1      1.39282600E+0      2.16957200E-2      1.74961600E-2      9.61816200E-1      -2.56750400E-1
2.85000000E+8      7.96080000E+1      1.40579000E+0      2.22886600E-2      1.76588600E-2      9.60460400E-1      -2.61290200E-1
2.90000000E+8      7.96011000E+1      1.41637000E+0      2.28504200E-2      1.77933600E-2      9.59161400E-1      -2.65692400E-1
2.95000000E+8      7.95940600E+1      1.42849800E+0      2.34434200E-2      1.79472600E-2      9.57856400E-1      -2.69984800E-1
