! R140 Conversion
! Date: 2024-08-14 14:49:55
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      7.94743000E+1      1.07252000E+0      1.19331600E-2      1.34953400E-2      9.80222000E-1      -1.84985600E-1
2.05000000E+8      7.94638400E+1      1.10318200E+0      1.25811800E-2      1.38829000E-2      9.79114200E-1      -1.89357400E-1
2.10000000E+8      7.94563800E+1      1.13333400E+0      1.32402400E-2      1.42636400E-2      9.78119800E-1      -1.93946400E-1
2.15000000E+8      7.94460200E+1      1.16079200E+0      1.38839000E-2      1.46110600E-2      9.77195200E-1      -1.98377000E-1
2.20000000E+8      7.94375400E+1      1.18409000E+0      1.44919400E-2      1.49059200E-2      9.76174400E-1      -2.02877600E-1
2.25000000E+8      7.94304400E+1      1.20752400E+0      1.51146600E-2      1.52022800E-2      9.75088400E-1      -2.07334600E-1
2.30000000E+8      7.94297600E+1      1.23091400E+0      1.57497800E-2      1.54968800E-2      9.73925400E-1      -2.11791600E-1
2.35000000E+8      7.94328200E+1      1.25243400E+0      1.63734800E-2      1.57671800E-2      9.72793000E-1      -2.16342800E-1
2.40000000E+8      7.94377200E+1      1.27323800E+0      1.69996400E-2      1.60281400E-2      9.71718400E-1      -2.20943600E-1
2.45000000E+8      7.94424000E+1      1.29333400E+0      1.76277600E-2      1.62801600E-2      9.70633000E-1      -2.25412000E-1
2.50000000E+8      7.94470000E+1      1.31237400E+0      1.82522800E-2      1.65188600E-2      9.69337000E-1      -2.29979400E-1
2.55000000E+8      7.94492600E+1      1.32932400E+0      1.88577600E-2      1.67317400E-2      9.68141200E-1      -2.34334200E-1
2.60000000E+8      7.94531400E+1      1.34232400E+0      1.94155800E-2      1.68945600E-2      9.66986600E-1      -2.38790200E-1
2.65000000E+8      7.94553200E+1      1.35472400E+0      1.99717400E-2      1.70501400E-2      9.65742800E-1      -2.43050200E-1
2.70000000E+8      7.94616200E+1      1.36948000E+0      2.05702400E-2      1.72345400E-2      9.64494600E-1      -2.47506600E-1
2.75000000E+8      7.94620600E+1      1.38405000E+0      2.11740400E-2      1.74177800E-2      9.63258200E-1      -2.51892600E-1
2.80000000E+8      7.94629200E+1      1.39610400E+0      2.17467600E-2      1.75692600E-2      9.61945600E-1      -2.56238200E-1
2.85000000E+8      7.94642200E+1      1.40583400E+0      2.22894200E-2      1.76914800E-2      9.60539400E-1      -2.60780800E-1
2.90000000E+8      7.94596000E+1      1.41584800E+0      2.28420200E-2      1.78185000E-2      9.59247200E-1      -2.65183400E-1
2.95000000E+8      7.94542600E+1      1.42622400E+0      2.34061000E-2      1.79502400E-2      9.57990600E-1      -2.69535000E-1
3.00000000E+8      7.94340600E+1      1.42546400E+0      2.37901200E-2      1.79452400E-2      9.56687400E-1      -2.73847800E-1
3.50000000E+8      7.94367400E+1      1.69897400E+0      3.30806400E-2      2.13877400E-2      9.41441000E-1      -3.16981200E-1
4.00000000E+8      7.94330000E+1      1.91933800E+0      4.27101400E-2      2.41629800E-2      9.24543200E-1      -3.58823000E-1
4.50000000E+8      7.94280800E+1      2.10002000E+0      5.25721000E-2      2.64392800E-2      9.05599400E-1      -3.99401400E-1
5.00000000E+8      7.94249600E+1      2.27120000E+0      6.31749600E-2      2.85955600E-2      8.85005200E-1      -4.38796600E-1
5.50000000E+8      7.94168800E+1      2.44631200E+0      7.48503200E-2      3.08034000E-2      8.62776800E-1      -4.76187800E-1
6.00000000E+8      7.94100400E+1      2.62486800E+0      8.76149400E-2      3.30546200E-2      8.38803600E-1      -5.12620000E-1
6.50000000E+8      7.93979600E+1      2.81360200E+0      1.01740800E-1      3.54367000E-2      8.13296200E-1      -5.47129400E-1
7.00000000E+8      7.93835000E+1      3.00642800E+0      1.17076200E-1      3.78722400E-2      7.86999800E-1      -5.79743000E-1
7.50000000E+8      7.93704400E+1      3.20865800E+0      1.33876400E-1      4.04263600E-2      7.59286000E-1      -6.10699200E-1
8.00000000E+8      7.93552800E+1      3.41407000E+0      1.51943000E-1      4.30225800E-2      7.30822200E-1      -6.40073400E-1
8.50000000E+8      7.93346200E+1      3.62193600E+0      1.71269000E-1      4.56539000E-2      7.01525400E-1      -6.67320600E-1
9.00000000E+8      7.93160400E+1      3.82889400E+0      1.91705600E-1      4.82739000E-2      6.71717200E-1      -6.93254600E-1
9.50000000E+8      7.92944000E+1      4.03287000E+0      2.13136200E-1      5.08595000E-2      6.40870400E-1      -7.17037800E-1
1.00000000E+9      7.92744800E+1      4.23572200E+0      2.35639000E-1      5.34311000E-2      6.10046000E-1      -7.39113200E-1
1.05000000E+9      7.92609800E+1      4.43767600E+0      2.59217400E-1      5.59881400E-2      5.78536200E-1      -7.59601200E-1
1.10000000E+9      7.92454200E+1      4.64191200E+0      2.84059200E-1      5.85764200E-2      5.46575600E-1      -7.78531400E-1
1.15000000E+9      7.92251000E+1      4.84667600E+0      3.10070800E-1      6.11759800E-2      5.15071200E-1      -7.94829400E-1
1.20000000E+9      7.92044000E+1      5.05130200E+0      3.37212800E-1      6.37755200E-2      4.84194400E-1      -8.10613200E-1
1.25000000E+9      7.91835000E+1      5.25270800E+0      3.65268600E-1      6.63359000E-2      4.52319800E-1      -8.24649200E-1
1.30000000E+9      7.91618000E+1      5.45442600E+0      3.94468000E-1      6.89022600E-2      4.21192200E-1      -8.36821200E-1
1.35000000E+9      7.91439000E+1      5.65667200E+0      4.24829200E-1      7.14732200E-2      3.89862600E-1      -8.47962800E-1
1.40000000E+9      7.91219200E+1      5.86145800E+0      4.56512600E-1      7.40813200E-2      3.59201600E-1      -8.57169600E-1
1.45000000E+9      7.90956000E+1      6.06514000E+0      4.89247200E-1      7.66811400E-2      3.28997200E-1      -8.65483600E-1
1.50000000E+9      7.90680200E+1      6.27108000E+0      5.23302600E-1      7.93124600E-2      2.98921400E-1      -8.72311600E-1
1.55000000E+9      7.90367000E+1      6.47607200E+0      5.58422400E-1      8.19375400E-2      2.69383400E-1      -8.77876000E-1
1.60000000E+9      7.90013800E+1      6.68226800E+0      5.94789600E-1      8.45841800E-2      2.40505200E-1      -8.82301400E-1
1.65000000E+9      7.89660600E+1      6.88865000E+0      6.32320800E-1      8.72356000E-2      2.12069200E-1      -8.85668400E-1
1.70000000E+9      7.89271600E+1      7.09714800E+0      6.71200600E-1      8.99202200E-2      1.84958400E-1      -8.88323000E-1
1.75000000E+9      7.88839800E+1      7.30293000E+0      7.10975400E-1      9.25781400E-2      1.57893200E-1      -8.89898000E-1
1.80000000E+9      7.88381800E+1      7.50694400E+0      7.51717800E-1      9.52195800E-2      1.30939800E-1      -8.90991400E-1
1.85000000E+9      7.87897200E+1      7.70732000E+0      7.93221800E-1      9.78214200E-2      1.05251600E-1      -8.90745400E-1
1.90000000E+9      7.87353800E+1      7.90421800E+0      8.35471800E-1      1.00389600E-1      8.02934000E-2      -8.89529800E-1
1.95000000E+9      7.86762000E+1      8.09223000E+0      8.77854000E-1      1.02854800E-1      5.61370800E-2      -8.87765600E-1
2.00000000E+9      7.86260600E+1      8.28355600E+0      9.21650400E-1      1.05353800E-1      3.27671000E-2      -8.85837200E-1
2.05000000E+9      7.85780800E+1      8.47617200E+0      9.66658400E-1      1.07869400E-1      9.34725400E-3      -8.83077200E-1
2.10000000E+9      7.85355400E+1      8.67140200E+0      1.01304400E+0      1.10413800E-1      -1.33097400E-2      -8.79848600E-1
2.15000000E+9      7.84910400E+1      8.86789200E+0      1.06066600E+0      1.12979600E-1      -3.51144600E-2      -8.75996600E-1
2.20000000E+9      7.84477000E+1      9.06505000E+0      1.10946200E+0      1.15555400E-1      -5.61716800E-2      -8.72089000E-1
2.25000000E+9      7.84054200E+1      9.26615600E+0      1.15985000E+0      1.18182800E-1      -7.67198400E-2      -8.67538600E-1
2.30000000E+9      7.83626800E+1      9.47013800E+0      1.21172200E+0      1.20850000E-1      -9.66902800E-2      -8.62493000E-1
2.35000000E+9      7.83215400E+1      9.67791200E+0      1.26523000E+0      1.23566400E-1      -1.16156600E-1      -8.57000800E-1
2.40000000E+9      7.82794200E+1      9.88926200E+0      1.32036800E+0      1.26332800E-1      -1.35304600E-1      -8.51123000E-1
2.45000000E+9      7.82337600E+1      1.00997200E+1      1.37655800E+0      1.29096600E-1      -1.53620400E-1      -8.44757800E-1
2.50000000E+9      7.81847200E+1      1.03101000E+1      1.43391400E+0      1.31868600E-1      -1.71143600E-1      -8.38352400E-1
2.55000000E+9      7.81290400E+1      1.05163600E+1      1.49184800E+0      1.34602400E-1      -1.88125400E-1      -8.31230200E-1
2.60000000E+9      7.80639200E+1      1.07214800E+1      1.55077200E+0      1.37342400E-1      -2.04513400E-1      -8.24164200E-1
2.65000000E+9      7.79874400E+1      1.09278200E+1      1.61101200E+0      1.40122600E-1      -2.20414000E-1      -8.17016200E-1
2.70000000E+9      7.79027200E+1      1.11349600E+1      1.67252400E+0      1.42934400E-1      -2.34061200E-1      -8.10816600E-1
2.75000000E+9      7.78133400E+1      1.13398200E+1      1.73483400E+0      1.45730800E-1      -2.48726000E-1      -8.03769000E-1
2.80000000E+9      7.77231400E+1      1.15448000E+1      1.79830800E+0      1.48537600E-1      -2.63097200E-1      -7.96289400E-1
2.85000000E+9      7.76337400E+1      1.17470000E+1      1.86248000E+0      1.51313200E-1      -2.77004200E-1      -7.88637200E-1
2.90000000E+9      7.75457600E+1      1.19441400E+1      1.92696000E+0      1.54027200E-1      -2.90032200E-1      -7.81345000E-1
2.95000000E+9      7.74612000E+1      1.21319600E+1      1.99100400E+0      1.56619800E-1      -3.02429000E-1      -7.74282600E-1
3.00000000E+9      7.73780600E+1      1.23120800E+1      2.05480800E+0      1.59115600E-1      -3.14270200E-1      -7.67203000E-1
3.05000000E+9      7.72953400E+1      1.24877600E+1      2.11886600E+0      1.61558800E-1      -3.25867000E-1      -7.59768400E-1
3.10000000E+9      7.72138800E+1      1.26637400E+1      2.18395400E+0      1.64009000E-1      -3.37522800E-1      -7.52093800E-1
3.15000000E+9      7.71346600E+1      1.28442200E+1      2.25080000E+0      1.66516400E-1      -3.48809800E-1      -7.44124200E-1
3.20000000E+9      7.70542800E+1      1.30301600E+1      2.31963200E+0      1.69104000E-1      -3.59997800E-1      -7.36395800E-1
3.25000000E+9      7.69775400E+1      1.32188600E+1      2.38999600E+0      1.71723800E-1      -3.70667200E-1      -7.28733400E-1
3.30000000E+9      7.69040000E+1      1.34075800E+1      2.46140800E+0      1.74341800E-1      -3.80913400E-1      -7.21415400E-1
3.35000000E+9      7.68341600E+1      1.35954600E+1      2.53371600E+0      1.76945600E-1      -3.91262000E-1      -7.14219600E-1
3.40000000E+9      7.67648400E+1      1.37799800E+1      2.60643600E+0      1.79509000E-1      -4.00564200E-1      -7.06980000E-1
3.45000000E+9      7.66879600E+1      1.39583800E+1      2.67900400E+0      1.82015400E-1      -4.09312800E-1      -6.99665600E-1
3.50000000E+9      7.66142200E+1      1.41389200E+1      2.75298200E+0      1.84547000E-1      -4.17722600E-1      -6.92560600E-1
3.55000000E+9      7.65367800E+1      1.43200600E+1      2.82808600E+0      1.87100200E-1      -4.25751000E-1      -6.84703200E-1
3.60000000E+9      7.64547800E+1      1.45067600E+1      2.90530800E+0      1.89743000E-1      -4.33760600E-1      -6.76799400E-1
3.65000000E+9      7.63674600E+1      1.46954400E+1      2.98396600E+0      1.92430600E-1      -4.41638000E-1      -6.68980600E-1
3.70000000E+9      7.62809800E+1      1.48831400E+1      3.06348200E+0      1.95109400E-1      -4.49787600E-1      -6.61583200E-1
3.75000000E+9      7.61961800E+1      1.50743600E+1      3.14476800E+0      1.97836000E-1      -4.57630400E-1      -6.54753200E-1
3.80000000E+9      7.61146600E+1      1.52624800E+1      3.22647000E+0      2.00519800E-1      -4.65216000E-1      -6.47710600E-1
3.85000000E+9      7.60343200E+1      1.54463800E+1      3.30831800E+0      2.03150200E-1      -4.72266000E-1      -6.40898800E-1
3.90000000E+9      7.59515000E+1      1.56250000E+1      3.39004200E+0      2.05723400E-1      -4.78860400E-1      -6.33932000E-1
3.95000000E+9      7.58622800E+1      1.57984400E+1      3.47161000E+0      2.08251600E-1      -4.84573800E-1      -6.27048600E-1
4.00000000E+9      7.57649400E+1      1.59695000E+1      3.55362200E+0      2.10777000E-1      -4.90499200E-1      -6.20045200E-1
4.05000000E+9      7.56630000E+1      1.61372400E+1      3.63582800E+0      2.13277400E-1      -4.96355800E-1      -6.12974600E-1
4.10000000E+9      7.55686200E+1      1.63077600E+1      3.71961200E+0      2.15800800E-1      -5.02328000E-1      -6.05777400E-1
4.15000000E+9      7.54817800E+1      1.64834400E+1      3.80553200E+0      2.18376600E-1      -5.08456600E-1      -5.98859000E-1
4.20000000E+9      7.53707800E+1      1.66597000E+1      3.89256400E+0      2.21036600E-1      -5.14233800E-1      -5.92705400E-1
4.25000000E+9      7.52553800E+1      1.68361200E+1      3.98061800E+0      2.23720000E-1      -5.19630200E-1      -5.86586600E-1
4.30000000E+9      7.51548600E+1      1.70052800E+1      4.06791600E+0      2.26270000E-1      -5.24700800E-1      -5.80548400E-1
4.35000000E+9      7.50600800E+1      1.71736400E+1      4.15595400E+0      2.28798200E-1      -5.29138200E-1      -5.74203200E-1
4.40000000E+9      7.49700800E+1      1.73334800E+1      4.24285000E+0      2.31205200E-1      -5.33278000E-1      -5.67995000E-1
4.45000000E+9      7.48882800E+1      1.74945200E+1      4.33093000E+0      2.33608200E-1      -5.37975600E-1      -5.61843400E-1
4.50000000E+9      7.48066800E+1      1.76493800E+1      4.41836200E+0      2.35933200E-1      -5.42507600E-1      -5.55045400E-1
4.55000000E+9      7.47317400E+1      1.78121800E+1      4.50865800E+0      2.38348200E-1      -5.47444000E-1      -5.48258000E-1
4.60000000E+9      7.46391800E+1      1.79765400E+1      4.60027400E+0      2.40846200E-1      -5.52264000E-1      -5.41873200E-1
4.65000000E+9      7.45707600E+1      1.81525800E+1      4.69580800E+0      2.43427400E-1      -5.57035200E-1      -5.35962000E-1
4.70000000E+9      7.44925600E+1      1.83206400E+1      4.79025200E+0      2.45939600E-1      -5.61158400E-1      -5.30509600E-1
4.75000000E+9      7.44168800E+1      1.84879200E+1      4.88541000E+0      2.48437200E-1      -5.64656600E-1      -5.25304200E-1
4.80000000E+9      7.43448600E+1      1.86586400E+1      4.98242000E+0      2.50974200E-1      -5.67912800E-1      -5.20032200E-1
4.85000000E+9      7.42788000E+1      1.88246400E+1      5.07911400E+0      2.53432400E-1      -5.72214000E-1      -5.13817000E-1
4.90000000E+9      7.42185400E+1      1.89800200E+1      5.17382800E+0      2.55731200E-1      -5.77891000E-1      -5.06559400E-1
4.95000000E+9      7.41578800E+1      1.91199400E+1      5.26515200E+0      2.57827400E-1      -5.79572000E-1      -5.01410800E-1
5.00000000E+9      7.40898000E+1      1.92831600E+1      5.36374000E+0      2.60267600E-1      -5.81714000E-1      -4.95825600E-1
5.05000000E+9      7.40079600E+1      1.94352000E+1      5.46008800E+0      2.62609600E-1      -5.86082800E-1      -4.89991800E-1
5.10000000E+9      7.39256000E+1      1.95835000E+1      5.55623600E+0      2.64908600E-1      -5.89300800E-1      -4.84136800E-1
5.15000000E+9      7.38245800E+1      1.97492400E+1      5.65818600E+0      2.67516200E-1      -5.92688800E-1      -4.79379400E-1
5.20000000E+9      7.37337400E+1      1.99199200E+1      5.76249000E+0      2.70160200E-1      -5.95965200E-1      -4.73677000E-1
5.25000000E+9      7.36495800E+1      2.00948000E+1      5.86897400E+0      2.72843400E-1      -5.99095600E-1      -4.69222400E-1
5.30000000E+9      7.35713600E+1      2.02647800E+1      5.97499000E+0      2.75444000E-1      -6.02545600E-1      -4.63342800E-1
5.35000000E+9      7.34950600E+1      2.04266600E+1      6.07953200E+0      2.77932200E-1      -6.03111000E-1      -4.59554600E-1
5.40000000E+9      7.34061800E+1      2.05831800E+1      6.18337600E+0      2.80401400E-1      -6.07468600E-1      -4.52442800E-1
5.45000000E+9      7.33266800E+1      2.07211200E+1      6.28245400E+0      2.82586600E-1      -6.09747200E-1      -4.48379800E-1
5.50000000E+9      7.32395400E+1      2.08590200E+1      6.38227600E+0      2.84805400E-1      -6.12006200E-1      -4.43842400E-1
5.55000000E+9      7.31558800E+1      2.10194600E+1      6.48984800E+0      2.87324800E-1      -6.13648200E-1      -4.38193800E-1
5.60000000E+9      7.30800800E+1      2.11704800E+1      6.59535400E+0      2.89688600E-1      -6.15565000E-1      -4.33042600E-1
5.65000000E+9      7.29963000E+1      2.13310400E+1      6.70471000E+0      2.92221200E-1      -6.18185800E-1      -4.28271800E-1
5.70000000E+9      7.28753400E+1      2.15007400E+1      6.81785400E+0      2.95034800E-1      -6.21719200E-1      -4.24643000E-1
5.75000000E+9      7.27504600E+1      2.16766000E+1      6.93391200E+0      2.97958400E-1      -6.23186800E-1      -4.17989600E-1
5.80000000E+9      7.26298400E+1      2.18430000E+1      7.04789600E+0      3.00744200E-1      -6.25214200E-1      -4.14332400E-1
5.85000000E+9      7.24990000E+1      2.20037200E+1      7.16095400E+0      3.03503600E-1      -6.28745400E-1      -4.10600400E-1
