! R140 Conversion
! Date: 2024-08-14 14:49:30
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      8.52928600E+1      2.05851400E+0      2.29035400E-2      2.41346600E-2      9.75433400E-1      -1.97677800E-1
2.05000000E+8      8.52826400E+1      2.10000600E+0      2.39493600E-2      2.46241400E-2      9.74227800E-1      -2.02323000E-1
2.10000000E+8      8.52735800E+1      2.13886400E+0      2.49874800E-2      2.50824400E-2      9.72954800E-1      -2.07170200E-1
2.15000000E+8      8.52627600E+1      2.17794800E+0      2.60499000E-2      2.55439800E-2      9.71816600E-1      -2.11908200E-1
2.20000000E+8      8.52516000E+1      2.21539200E+0      2.71139600E-2      2.59865600E-2      9.70578600E-1      -2.16672400E-1
2.25000000E+8      8.52431800E+1      2.25156200E+0      2.81828800E-2      2.64134000E-2      9.69254000E-1      -2.21417600E-1
2.30000000E+8      8.52390200E+1      2.28914200E+0      2.92900800E-2      2.68556000E-2      9.67898000E-1      -2.26075000E-1
2.35000000E+8      8.52394000E+1      2.32308400E+0      3.03705000E-2      2.72536800E-2      9.66464200E-1      -2.30881200E-1
2.40000000E+8      8.52420200E+1      2.35910800E+0      3.14977000E-2      2.76754800E-2      9.65124800E-1      -2.35789000E-1
2.45000000E+8      8.52429000E+1      2.39566400E+0      3.26520600E-2      2.81039600E-2      9.63804800E-1      -2.40527200E-1
2.50000000E+8      8.52405600E+1      2.43027000E+0      3.37998000E-2      2.85107400E-2      9.62229600E-1      -2.45284800E-1
2.55000000E+8      8.52397000E+1      2.46490600E+0      3.49671400E-2      2.89173800E-2      9.60853200E-1      -2.49936000E-1
2.60000000E+8      8.52386400E+1      2.49790200E+0      3.61300200E-2      2.93048600E-2      9.59386000E-1      -2.54506800E-1
2.65000000E+8      8.52380200E+1      2.52887000E+0      3.72813600E-2      2.96683400E-2      9.57865800E-1      -2.59095800E-1
2.70000000E+8      8.52405400E+1      2.56343000E+0      3.85038800E-2      3.00729400E-2      9.56443200E-1      -2.63678000E-1
2.75000000E+8      8.52379000E+1      2.59495200E+0      3.96991800E-2      3.04436800E-2      9.54940200E-1      -2.68316000E-1
