! R140 Conversion
! Date: 2024-08-14 14:49:32
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      8.51433400E+1      2.04477600E+0      2.27507200E-2      2.40156800E-2      9.75532000E-1      -1.97347800E-1
2.05000000E+8      8.51076000E+1      2.13078400E+0      2.43003600E-2      2.50363800E-2      9.74246600E-1      -2.02039200E-1
2.10000000E+8      8.51331600E+1      2.14859200E+0      2.51010800E-2      2.52379600E-2      9.73060600E-1      -2.06893000E-1
2.15000000E+8      8.50965200E+1      2.13794000E+0      2.55713400E-2      2.51237200E-2      9.71949600E-1      -2.11605200E-1
2.20000000E+8      8.50754800E+1      2.19402400E+0      2.68524000E-2      2.57891600E-2      9.70646000E-1      -2.16307000E-1
2.25000000E+8      8.50833200E+1      2.23915200E+0      2.80275800E-2      2.63172000E-2      9.69326200E-1      -2.21073800E-1
2.30000000E+8      8.50491400E+1      2.28926400E+0      2.92916600E-2      2.69170400E-2      9.67991200E-1      -2.25719000E-1
2.35000000E+8      8.51046800E+1      2.31898200E+0      3.03169400E-2      2.72486200E-2      9.66627200E-1      -2.30595800E-1
2.40000000E+8      8.51446600E+1      2.36259000E+0      3.15441400E-2      2.77479600E-2      9.65208200E-1      -2.35416800E-1
2.45000000E+8      8.51496200E+1      2.35766600E+0      3.21342200E-2      2.76885400E-2      9.63916200E-1      -2.40167600E-1
2.50000000E+8      8.51902600E+1      2.43142000E+0      3.38157600E-2      2.85410600E-2      9.62359200E-1      -2.44952600E-1
2.55000000E+8      8.51485400E+1      2.43360000E+0      3.45230400E-2      2.85806400E-2      9.61030400E-1      -2.49551800E-1
2.60000000E+8      8.51162200E+1      2.48518600E+0      3.59460600E-2      2.91975200E-2      9.59533000E-1      -2.54126200E-1
2.65000000E+8      8.50971600E+1      2.52678800E+0      3.72506800E-2      2.96929600E-2      9.58029400E-1      -2.58730600E-1
2.70000000E+8      8.50459400E+1      2.53406200E+0      3.80627800E-2      2.97963800E-2      9.56628200E-1      -2.63252600E-1
2.75000000E+8      8.50688600E+1      2.55959200E+0      3.91582000E-2      3.00884600E-2      9.55090400E-1      -2.67966400E-1
