! R140 Conversion
! Date: 2024-08-14 14:49:34
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      8.22652800E+1      1.60904400E+0      1.79026600E-2      1.95592600E-2      9.77800200E-1      -1.91059200E-1
2.05000000E+8      8.22572800E+1      1.64572800E+0      1.87686000E-2      2.00071400E-2      9.76634600E-1      -1.95575600E-1
2.10000000E+8      8.22516600E+1      1.67822800E+0      1.96060600E-2      2.04036000E-2      9.75581400E-1      -2.00258400E-1
2.15000000E+8      8.22439600E+1      1.71099000E+0      2.04646800E-2      2.08038200E-2      9.74484000E-1      -2.04912800E-1
2.20000000E+8      8.22361800E+1      1.74182000E+0      2.13179400E-2      2.11806800E-2      9.73366800E-1      -2.09460000E-1
2.25000000E+8      8.22301000E+1      1.77053400E+0      2.21618600E-2      2.15314600E-2      9.72101000E-1      -2.14148000E-1
2.30000000E+8      8.22283400E+1      1.79863600E+0      2.30139200E-2      2.18736200E-2      9.70932800E-1      -2.18630000E-1
2.35000000E+8      8.22316400E+1      1.82374200E+0      2.38424200E-2      2.21780600E-2      9.69626000E-1      -2.23341800E-1
2.40000000E+8      8.22356800E+1      1.84962600E+0      2.46953000E-2      2.24917600E-2      9.68418200E-1      -2.28105400E-1
2.45000000E+8      8.22391200E+1      1.87539600E+0      2.55610200E-2      2.28041600E-2      9.67169800E-1      -2.32683200E-1
2.50000000E+8      8.22385000E+1      1.89785200E+0      2.63950000E-2      2.30774000E-2      9.65780200E-1      -2.37329400E-1
2.55000000E+8      8.22405800E+1      1.92245200E+0      2.72718800E-2      2.33759200E-2      9.64555200E-1      -2.41860800E-1
2.60000000E+8      8.22411800E+1      1.94499000E+0      2.81326000E-2      2.36498000E-2      9.63214400E-1      -2.46357600E-1
2.65000000E+8      8.22437000E+1      1.96552600E+0      2.89763800E-2      2.38987800E-2      9.61807000E-1      -2.50798600E-1
2.70000000E+8      8.22475000E+1      1.98810800E+0      2.98623200E-2      2.41722600E-2      9.60559600E-1      -2.55277600E-1
2.75000000E+8      8.22469800E+1      2.01191800E+0      3.07795400E-2      2.44618400E-2      9.59167000E-1      -2.59819200E-1
2.80000000E+8      8.22480800E+1      2.03355800E+0      3.16762400E-2      2.47246600E-2      9.57671800E-1      -2.64224000E-1
2.85000000E+8      8.22500200E+1      2.05404800E+0      3.25668000E-2      2.49732200E-2      9.56190600E-1      -2.68963000E-1
2.90000000E+8      8.22453800E+1      2.07428800E+0      3.34646800E-2      2.52207600E-2      9.54773000E-1      -2.73453800E-1
2.95000000E+8      8.22406800E+1      2.09542200E+0      3.43884600E-2      2.54791400E-2      9.53268200E-1      -2.77899600E-1
3.00000000E+8      8.22086800E+1      2.08422800E+0      3.47844800E-2      2.53529000E-2      9.51894600E-1      -2.82297400E-1
3.50000000E+8      8.21816200E+1      2.46458000E+0      4.79877800E-2      2.99894800E-2      9.35165400E-1      -3.26316000E-1
4.00000000E+8      8.21458400E+1      2.77614200E+0      6.17762000E-2      3.37953200E-2      9.16724400E-1      -3.68829200E-1
4.50000000E+8      8.21046000E+1      3.02829800E+0      7.58106600E-2      3.68834400E-2      8.96217000E-1      -4.09798600E-1
5.00000000E+8      8.20652000E+1      3.25675000E+0      9.05886200E-2      3.96849000E-2      8.73831200E-1      -4.49617200E-1
5.50000000E+8      8.20183800E+1      3.48371200E+0      1.06592000E-1      4.24748000E-2      8.50086400E-1      -4.86589000E-1
6.00000000E+8      8.19744800E+1      3.71175800E+0      1.23894000E-1      4.52794400E-2      8.24172400E-1      -5.23126800E-1
6.50000000E+8      8.19249200E+1      3.96705000E+0      1.43450200E-1      4.84230000E-2      7.96896800E-1      -5.56693000E-1
7.00000000E+8      8.18594600E+1      4.23329000E+0      1.64852600E-1      5.17141400E-2      7.69363600E-1      -5.88525200E-1
7.50000000E+8      8.17910400E+1      4.50634200E+0      1.88020400E-1      5.50958000E-2      7.40164400E-1      -6.18717400E-1
8.00000000E+8      8.17161800E+1      4.77770000E+0      2.12631600E-1      5.84670000E-2      7.10614600E-1      -6.47204200E-1
8.50000000E+8      8.16280000E+1      5.03421000E+0      2.38050800E-1      6.16725400E-2      6.80042200E-1      -6.73155600E-1
9.00000000E+8      8.15515000E+1      5.28249400E+0      2.64485000E-1      6.47749600E-2      6.49137200E-1      -6.97937800E-1
9.50000000E+8      8.14709800E+1      5.53054400E+0      2.92288000E-1      6.78836200E-2      6.17453200E-1      -7.20082000E-1
1.00000000E+9      8.13939400E+1      5.77704200E+0      3.21384400E-1      7.09763000E-2      5.85822000E-1      -7.40838000E-1
1.05000000E+9      8.13234600E+1      6.02495000E+0      3.51934800E-1      7.40862800E-2      5.53908600E-1      -7.59645000E-1
1.10000000E+9      8.12468800E+1      6.27076400E+0      3.83735800E-1      7.71815400E-2      5.21273400E-1      -7.77411400E-1
1.15000000E+9      8.11637400E+1      6.50721800E+0      4.16306000E-1      8.01739800E-2      4.89460800E-1      -7.91491200E-1
1.20000000E+9      8.10819800E+1      6.73829200E+0      4.49832200E-1      8.31046600E-2      4.58975200E-1      -8.05574200E-1
1.25000000E+9      8.10032000E+1      6.96319400E+0      4.84214600E-1      8.59619800E-2      4.27667600E-1      -8.18257400E-1
1.30000000E+9      8.09230800E+1      7.18561200E+0      5.19668400E-1      8.87955600E-2      3.97354000E-1      -8.29425800E-1
1.35000000E+9      8.08533400E+1      7.41000800E+0      5.56508600E-1      9.16475200E-2      3.66108600E-1      -8.40218200E-1
1.40000000E+9      8.07737800E+1      7.63741000E+0      5.94831000E-1      9.45531000E-2      3.34478800E-1      -8.48163600E-1
1.45000000E+9      8.06896800E+1      7.85927200E+0      6.33971400E-1      9.74011600E-2      3.04915200E-1      -8.54315800E-1
1.50000000E+9      8.06064600E+1      8.08183200E+0      6.74404400E-1      1.00262800E-1      2.75243600E-1      -8.59761600E-1
1.55000000E+9      8.05188800E+1      8.30150200E+0      7.15826400E-1      1.03100200E-1      2.46986000E-1      -8.63244200E-1
1.60000000E+9      8.04283200E+1      8.52130400E+0      7.58482000E-1      1.05949200E-1      2.19974000E-1      -8.67229600E-1
1.65000000E+9      8.03393800E+1      8.73841800E+0      8.02114200E-1      1.08769000E-1      1.92062600E-1      -8.70608400E-1
1.70000000E+9      8.02465400E+1      8.95597800E+0      8.46995800E-1      1.11605800E-1      1.65516600E-1      -8.72461000E-1
1.75000000E+9      8.01519600E+1      9.16881400E+0      8.92628400E-1      1.14393000E-1      1.38942000E-1      -8.73399600E-1
1.80000000E+9      8.00546800E+1      9.37867600E+0      9.39147000E-1      1.17153200E-1      1.12368600E-1      -8.73203200E-1
1.85000000E+9      7.99566800E+1      9.58476200E+0      9.86444200E-1      1.19874600E-1      8.79999000E-2      -8.71806200E-1
1.90000000E+9      7.98486800E+1      9.78896800E+0      1.03469200E+0      1.22593800E-1      6.45826800E-2      -8.70230600E-1
1.95000000E+9      7.97343400E+1      9.98018400E+0      1.08266000E+0      1.25168000E-1      4.15661400E-2      -8.68154000E-1
2.00000000E+9      7.96319200E+1      1.01723600E+1      1.13180600E+0      1.27742400E-1      1.93176000E-2      -8.65970800E-1
2.05000000E+9      7.95352600E+1      1.03636400E+1      1.18191200E+0      1.30302400E-1      -3.31173800E-3      -8.63262600E-1
2.10000000E+9      7.94504600E+1      1.05576200E+1      1.23340400E+0      1.32883200E-1      -2.54260800E-2      -8.59699000E-1
2.15000000E+9      7.93636000E+1      1.07558000E+1      1.28647400E+0      1.35525600E-1      -4.63779000E-2      -8.55443200E-1
2.20000000E+9      7.92708800E+1      1.09535200E+1      1.34058800E+0      1.38178400E-1      -6.63926600E-2      -8.51413200E-1
2.25000000E+9      7.91797000E+1      1.11520600E+1      1.39590800E+0      1.40844600E-1      -8.59998200E-2      -8.46702200E-1
2.30000000E+9      7.90855000E+1      1.13517400E+1      1.45247800E+0      1.43537600E-1      -1.04959000E-1      -8.41475600E-1
2.35000000E+9      7.89964600E+1      1.15491400E+1      1.50986400E+0      1.46198200E-1      -1.23416400E-1      -8.35911400E-1
2.40000000E+9      7.89158000E+1      1.17493800E+1      1.56872000E+0      1.48885000E-1      -1.41657200E-1      -8.30122000E-1
2.45000000E+9      7.88343800E+1      1.19494600E+1      1.62867000E+0      1.51576600E-1      -1.59036800E-1      -8.23960800E-1
2.50000000E+9      7.87510000E+1      1.21474800E+1      1.68945200E+0      1.54251800E-1      -1.75778600E-1      -8.17830000E-1
2.55000000E+9      7.86595800E+1      1.23407400E+1      1.75065400E+0      1.56887800E-1      -1.92075200E-1      -8.11119600E-1
2.60000000E+9      7.85557200E+1      1.25294400E+1      1.81227600E+0      1.59497400E-1      -2.07880400E-1      -8.04388800E-1
2.65000000E+9      7.84413200E+1      1.27181800E+1      1.87495400E+0      1.62136200E-1      -2.23225400E-1      -7.97394800E-1
2.70000000E+9      7.83204000E+1      1.29095400E+1      1.93907200E+0      1.64830000E-1      -2.36152600E-1      -7.91472000E-1
2.75000000E+9      7.81989600E+1      1.31015000E+1      2.00434800E+0      1.67540600E-1      -2.50393000E-1      -7.84624200E-1
2.80000000E+9      7.80809400E+1      1.32967200E+1      2.07119800E+0      1.70293600E-1      -2.64289400E-1      -7.77405200E-1
2.85000000E+9      7.79673400E+1      1.34919800E+1      2.13914200E+0      1.73046200E-1      -2.77794200E-1      -7.69991400E-1
2.90000000E+9      7.78555200E+1      1.36822800E+1      2.20737400E+0      1.75739400E-1      -2.90212800E-1      -7.62994200E-1
