! R140 Conversion
! Date: 2024-08-14 14:49:36
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      8.23038600E+1      1.60505000E+0      1.78581800E-2      1.95016600E-2      9.77792200E-1      -1.91147800E-1
2.05000000E+8      8.22506200E+1      1.68590400E+0      1.92267600E-2      2.04970800E-2      9.76612000E-1      -1.95662200E-1
2.10000000E+8      8.22801000E+1      1.70152600E+0      1.98782200E-2      2.06797400E-2      9.75517400E-1      -2.00386800E-1
2.15000000E+8      8.22441400E+1      1.70370800E+0      2.03775800E-2      2.07152200E-2      9.74464000E-1      -2.04954400E-1
2.20000000E+8      8.22412000E+1      1.71548400E+0      2.09956200E-2      2.08592000E-2      9.73349400E-1      -2.09587200E-1
2.25000000E+8      8.22355400E+1      1.75053000E+0      2.19114800E-2      2.12867600E-2      9.72155200E-1      -2.14190800E-1
2.30000000E+8      8.22294600E+1      1.81103200E+0      2.31725000E-2      2.20241600E-2      9.70871200E-1      -2.18768600E-1
2.35000000E+8      8.22668600E+1      1.85671000E+0      2.42734600E-2      2.25693800E-2      9.69572000E-1      -2.23457000E-1
2.40000000E+8      8.23234600E+1      1.85832800E+0      2.48115000E-2      2.25735200E-2      9.68351200E-1      -2.28217200E-1
2.45000000E+8      8.23433400E+1      1.85405000E+0      2.52701000E-2      2.25160600E-2      9.67146600E-1      -2.32878600E-1
2.50000000E+8      8.23426400E+1      1.91231600E+0      2.65961600E-2      2.32239000E-2      9.65760200E-1      -2.37433600E-1
2.55000000E+8      8.23360000E+1      1.91682000E+0      2.71919800E-2      2.32804400E-2      9.64502000E-1      -2.42001600E-1
2.60000000E+8      8.23182800E+1      1.96179400E+0      2.83756400E-2      2.38318400E-2      9.63114400E-1      -2.46497600E-1
2.65000000E+8      8.22770000E+1      1.99227200E+0      2.93707000E-2      2.42142600E-2      9.61763000E-1      -2.50922600E-1
2.70000000E+8      8.22550600E+1      1.99535000E+0      2.99710800E-2      2.42581600E-2      9.60456000E-1      -2.55411000E-1
2.75000000E+8      8.22485200E+1      1.99926400E+0      3.05859600E-2      2.43075800E-2      9.59114400E-1      -2.59933400E-1
2.80000000E+8      8.22494600E+1      2.05710600E+0      3.20430800E-2      2.50105200E-2      9.57580600E-1      -2.64422600E-1
