! R140 Conversion
! Date: 2024-08-14 14:49:38
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      1.00000000E+0      2.54877000E-1      2.83582600E-3      2.54877000E-1      9.99302200E-1      -2.52619400E-3
2.05000000E+8      1.00000000E+0      2.51289400E-1      2.86581200E-3      2.51289400E-1      9.99325800E-1      -2.53566800E-3
2.10000000E+8      1.00000000E+0      2.47836600E-1      2.89537200E-3      2.47836600E-1      9.99287400E-1      -2.59822800E-3
2.15000000E+8      1.00000000E+0      2.44475400E-1      2.92410200E-3      2.44475400E-1      9.99264600E-1      -2.70560800E-3
2.20000000E+8      1.00000000E+0      2.41168400E-1      2.95163400E-3      2.41168400E-1      9.99354600E-1      -2.71409800E-3
2.25000000E+8      1.00000000E+0      2.37891800E-1      2.97770400E-3      2.37891800E-1      9.99243800E-1      -2.76543800E-3
2.30000000E+8      1.00000000E+0      2.34628200E-1      3.00211600E-3      2.34628200E-1      9.99322200E-1      -2.79291000E-3
2.35000000E+8      1.00000000E+0      2.31358000E-1      3.02462800E-3      2.31358000E-1      9.99311800E-1      -2.91066600E-3
2.40000000E+8      1.00000000E+0      2.28064200E-1      3.04500200E-3      2.28064200E-1      9.99285000E-1      -3.02344200E-3
2.45000000E+8      1.00000000E+0      2.24734800E-1      3.06306200E-3      2.24734800E-1      9.99355800E-1      -3.16723600E-3
2.50000000E+8      1.00000000E+0      2.21365400E-1      3.07871000E-3      2.21365400E-1      9.99409600E-1      -3.32875600E-3
2.55000000E+8      1.00000000E+0      2.17957600E-1      3.09194800E-3      2.17957600E-1      9.99289800E-1      -3.38133400E-3
2.60000000E+8      1.00000000E+0      2.14521200E-1      3.10286200E-3      2.14521200E-1      9.99323200E-1      -3.38334600E-3
2.65000000E+8      1.00000000E+0      2.11069200E-1      3.11164600E-3      2.11069200E-1      9.99298600E-1      -3.35279000E-3
2.70000000E+8      1.00000000E+0      2.07618800E-1      3.11852800E-3      2.07618800E-1      9.99336800E-1      -3.49667400E-3
2.75000000E+8      1.00000000E+0      2.04185600E-1      3.12375200E-3      2.04185600E-1      9.99218000E-1      -3.47672200E-3
2.80000000E+8      1.00000000E+0      2.00780800E-1      3.12751600E-3      2.00780800E-1      9.99259400E-1      -3.51930600E-3
2.85000000E+8      1.00000000E+0      1.97420200E-1      3.13007800E-3      1.97420200E-1      9.99325600E-1      -3.54368800E-3
2.90000000E+8      1.00000000E+0      1.94123800E-1      3.13181400E-3      1.94123800E-1      9.99189600E-1      -3.75453200E-3
