! R140 Conversion
! Date: 2024-08-14 14:49:40
! Start: 200.00MHz  Stop: 14.00GHz  Points: 167
! Permativity
# Hz e R 50
Frequency           Permativity_Real           Permativity__Imag           Q           Tan           Reflection_Real           Reflection_Imag
2.00000000E+8      1.00000000E+0      3.47353400E-1      3.86474400E-3      1.00000000E+3      9.99047200E-1      -2.34943400E-3
2.05000000E+8      1.06544200E+0      3.40128000E-1      3.87896400E-3      4.00191453E+2      9.99089400E-1      -2.30374600E-3
2.10000000E+8      1.08088200E+0      3.28405800E-1      3.83662800E-3      4.00178423E+2      9.99024600E-1      -2.40259000E-3
2.15000000E+8      1.09632400E+0      3.16683400E-1      3.78777000E-3      4.00166282E+2      9.99007600E-1      -2.52136400E-3
2.20000000E+8      1.11176400E+0      3.04961800E-1      3.73239000E-3      4.00154904E+2      9.99132800E-1      -2.49609600E-3
2.25000000E+8      1.11137200E+0      2.97682000E-1      3.72610200E-3      4.00150161E+2      9.99032800E-1      -2.58634200E-3
2.30000000E+8      1.11098200E+0      2.90402600E-1      3.71576200E-3      4.00145486E+2      9.99117400E-1      -2.60017200E-3
2.35000000E+8      1.10674200E+0      2.86125800E-1      3.74062800E-3      4.00143941E+2      9.98978800E-1      -2.70845800E-3
2.40000000E+8      1.10250400E+0      2.81849400E-1      3.76311400E-3      4.00142469E+2      9.99102000E-1      -2.86220800E-3
2.45000000E+8      1.09826600E+0      2.77572600E-1      3.78322400E-3      4.00141068E+2      9.99159600E-1      -2.97268200E-3
2.50000000E+8      1.09402800E+0      2.73295800E-1      3.80095600E-3      4.00139739E+2      9.99111800E-1      -3.13709000E-3
2.55000000E+8      1.08978800E+0      2.69019600E-1      3.81630400E-3      4.00138479E+2      9.99034400E-1      -3.18754000E-3
2.60000000E+8      1.08555200E+0      2.64742600E-1      3.82927400E-3      4.00137289E+2      9.99048800E-1      -3.19685000E-3
2.65000000E+8      1.08131200E+0      2.60466000E-1      3.83986800E-3      4.00136166E+2      9.99019800E-1      -3.15773800E-3
2.70000000E+8      1.07707200E+0      2.56189000E-1      3.84808000E-3      4.00135110E+2      9.99063800E-1      -3.30029800E-3
2.75000000E+8      1.07283600E+0      2.51912800E-1      3.85391400E-3      4.00134122E+2      9.98929400E-1      -3.22801000E-3
2.80000000E+8      1.06859600E+0      2.47636000E-1      3.85736800E-3      4.00133201E+2      9.99027600E-1      -3.25432200E-3
2.85000000E+8      1.06435800E+0      2.43359200E-1      3.85844400E-3      4.00132346E+2      9.99069800E-1      -3.29620000E-3
2.90000000E+8      1.03218000E+0      2.42283400E-1      3.90877600E-3      4.00139042E+2      9.98961000E-1      -3.55161000E-3
2.95000000E+8      1.00000000E+0      2.41207400E-1      3.95851200E-3      1.00000000E+3      9.99021400E-1      -3.53968800E-3
3.00000000E+8      1.00000000E+0      2.40093800E-1      4.00702000E-3      1.00000000E+3      9.99010400E-1      -3.68418800E-3
3.50000000E+8      1.00013200E+0      2.31716200E-1      4.51173800E-3      2.31684800E-1      9.98925800E-1      -4.31958200E-3
4.00000000E+8      1.00026800E+0      2.23338400E-1      4.96984400E-3      2.23278000E-1      9.98900400E-1      -4.95040800E-3
4.50000000E+8      1.00040200E+0      2.14960600E-1      5.38134400E-3      2.14873800E-1      9.99022000E-1      -5.60190000E-3
5.00000000E+8      1.00053600E+0      2.06583000E-1      5.74623800E-3      2.06471200E-1      9.99078800E-1      -6.42503600E-3
5.50000000E+8      1.00067000E+0      1.98205000E-1      6.06452600E-3      1.98071400E-1      9.99150800E-1      -6.69057600E-3
